index,is_signal,marginal_score,z_score_clipped,lambda2_mean,guided_scale_mean,kappa2_mean,post_prob_abs_gt_thresh
1,1,0.594602175697219,1.05831072417065,3463.01632595023,6911.44068185781,4.44512667289588,1
2,1,0.607711773019381,1.07493597702132,19886.7015488335,34948.5878169469,4.04516019514152,1
3,1,0.407857993045979,0.770928265298566,7114.81955842733,2277.49837737315,3.32745130569212,1
4,1,0.445945651335741,0.838988569048907,6456.55729121718,12555.3476922486,3.18480314866589,1
5,1,0.25430128133984,0.410799149489766,268.151655062705,142.919160362829,2.36073096461855,1
6,0,0.0516409186743659,-0.804520073806401,12.5921116151212,1.27024569594991,0.17051969586428,0.40625
7,0,0.0971398505644523,-0.322850333852319,3172.67345954356,3287.61596635605,0.183122321523135,0.42125
8,0,0.0412430008908442,-0.97591612149416,12.1971457714432,2.25973081675655,0.102964760273998,0.34625
9,0,0.118149737258307,-0.173584183200953,13.987067933062,22.8963456043838,0.219680890422519,0.45875
10,0,0.0126456455275406,-1.87709197267538,10.0561006401171,0.0590434936660202,0.0392538479688484,0.24375
