index,is_signal,lambda2_mean,base_scale_mean,kappa2_mean,post_prob_abs_gt_thresh
1,1,13993.3716991139,2442.29546363892,4.04066601887246,1
2,1,30245.8880998535,35275.015065176,3.7467660833534,1
3,1,4370.46281356568,889.358544343576,3.20680600156767,1
4,1,19321.3741529466,5471.93694066206,2.9365927224516,1
5,1,204543.228348485,46900.0985636478,2.39318767812696,1
6,0,6.57193555947181,20.6804123191645,0.445875031497589,0.48625
7,0,162.095544528085,38.3121900431184,0.375487610954058,0.52125
8,0,4.19713728650515,52.0368247064409,0.425216928030509,0.5175
9,0,44.1206628008881,15.6458299354806,0.331086306007476,0.50125
10,0,4.618285665575,113.919616353003,0.369586168620534,0.50625
