index,beta_true_raw,beta_true_std,is_signal,beta_mean,beta_median,beta_sd,ci_2p5,ci_97p5,abs_beta_mean,abs_beta_median,post_prob_abs_gt_thresh,selected_mean_thresh,selected_median_thresh,selected_ci_excludes_zero,sign_beta_mean,sign_beta_median,lambda2_mean,lambda2_median,base_scale_mean,base_scale_median,kappa2_mean,kappa2_median
1,2.5,0.559372243347489,1,0.552320492746348,0.552094186041785,0.021889351164236,0.510092913318677,0.594507483292053,0.552320492746348,0.552094186041785,1,1,1,1,1,1,13993.3716991139,35.4588615478526,2442.29546363892,10.4703355295358,4.04066601887246,3.10345677728522
2,-2,-0.447497794677992,1,-0.450344830706719,-0.451075005315632,0.022175764002812,-0.49361573155858,-0.4068953073958,0.450344830706719,0.451075005315632,1,1,1,1,-1,-1,30245.8880998535,25.1051744161602,35275.015065176,7.48975571097032,3.7467660833534,2.76047127233549
3,1.8,0.402748015210192,1,0.396007439265684,0.396202910712626,0.0218520707311909,0.35282680195438,0.438078318856621,0.396007439265684,0.396202910712626,1,1,1,1,1,1,4370.46281356568,17.1206136345963,889.358544343576,5.24183938198444,3.20680600156767,2.38032356853007
4,-1.5,-0.335623346008494,1,-0.338172478160594,-0.338190578033091,0.0228163227499018,-0.383906356734729,-0.293266687625235,0.338172478160594,0.338190578033091,1,1,1,1,-1,-1,19321.3741529466,14.8370176609052,5471.93694066206,4.35371838590827,2.9365927224516,2.14346095549595
5,1.2,0.268498676806795,1,0.266783451876467,0.267819150824555,0.0227045820023432,0.21892207479448,0.310875735284773,0.266783451876467,0.267819150824555,1,1,1,1,1,1,204543.228348485,8.23411098773803,46900.0985636478,2.52522116504534,2.39318767812696,1.66535211988891
6,0,0,0,-0.00376972478881328,-0.00189099383354406,0.0170701198732524,-0.0423267100847596,0.0301741112092357,0.0126884250388691,0.00938062325859159,0.48625,0,0,0,-1,-1,6.57193555947181,0.118231756011805,20.6804123191645,0.0297357338571722,0.445875031497589,0.0296000077245158
7,0,0,0,0.0016865274685807,0.000574389562405572,0.0179500860531606,-0.0345842212956607,0.0416579084148534,0.013531040674188,0.0106691284227847,0.52125,0,0,0,1,1,162.095544528085,0.102870024464524,38.3121900431184,0.0309411348236144,0.375487610954058,0.030753253020497
8,0,0,0,0.00390717986829463,0.00232843609115985,0.0183540705705362,-0.0334298729092531,0.0448191744549667,0.0140175442664915,0.010501719281423,0.5175,0,0,0,1,1,4.19713728650515,0.113949892979732,52.0368247064409,0.0288002707982293,0.425216928030509,0.0286041278501643
9,0,0,0,0.00517505272401439,0.00251042817448105,0.0179884074899374,-0.0292955735483378,0.0435830306816676,0.0137094630838333,0.010047651626162,0.50125,0,0,0,1,1,44.1206628008881,0.106141091521191,15.6458299354806,0.0287523052705665,0.331086306007476,0.0285748563243376
10,0,0,0,0.00254804571755828,0.00237130108499359,0.017854415900563,-0.036559766561622,0.041354235419582,0.0134751359762416,0.0103421819594028,0.50625,0,0,0,1,1,4.618285665575,0.127259409498119,113.919616353003,0.030292152106909,0.369586168620534,0.0301909283662595
