draw_id,index,is_signal,beta_draw,abs_beta_draw,lambda_draw,lambda2_draw,tau_draw,tau2_draw,c2_draw,eta_draw,base_scale_draw,kappa2_draw
1,1,1,0.568762016572742,0.568762016572742,29.4636116636303,868.104412265213,1.01127768545378,1.02268255709676,5.11928464594533,0,887.795240162371,5.08993460788671
1,2,1,0.562635458355048,0.562635458355048,39.5579457351185,1564.83107078258,1.01127768545378,1.02268255709676,5.11928464594533,0,975.658094545605,3.00286761607233
1,3,1,0.575018049926644,0.575018049926644,17.971017963323,322.957486638079,1.01127768545378,1.02268255709676,5.11928464594533,0,388.339257225188,4.11016605836197
1,4,1,0.559032771324906,0.559032771324906,4.79295342243149,22.9724025095977,1.01127768545378,1.02268255709676,5.11928464594533,0,2.49252588961256,1.3999991882047
1,5,1,0.52868019338408,0.52868019338408,14.2212370106675,202.24358211358,1.01127768545378,1.02268255709676,5.11928464594533,0,20.3191907908782,8.24733783688568
1,6,0,0.600421320405327,0.600421320405327,48.0554853775305,2309.32967487005,1.01127768545378,1.02268255709676,5.11928464594533,0,498.355617495547,7.10511430145473
1,7,0,0.571042259685193,0.571042259685193,6.98988278499417,48.8584613479578,1.01127768545378,1.02268255709676,5.11928464594533,0,347.736851218302,8.42431062825535
1,8,0,0.56667302631854,0.56667302631854,2.46526912666015,6.07755186686371,1.01127768545378,1.02268255709676,5.11928464594533,0,64.0636283663642,2.64093974597046
1,9,0,0.555233444879544,0.555233444879544,3.87957014686459,15.0510645244429,1.01127768545378,1.02268255709676,5.11928464594533,0,21.3476081162888,9.07654932713036
1,10,0,0.52303805196537,0.52303805196537,130.932469307567,17143.311518977,1.01127768545378,1.02268255709676,5.11928464594533,0,54524.3033958109,5.75642960702928
2,1,1,0.573652559220864,0.573652559220864,30.3142874927713,918.956026194388,0.789614465068828,0.623491003445932,3.01213833571686,0,564.326948000269,7.5600302266175
2,2,1,0.542323285689604,0.542323285689604,25.6541646184952,658.136162272853,0.789614465068828,0.623491003445932,3.01213833571686,0,4592.9601693727,2.05903683246396
2,3,1,0.538877767956475,0.538877767956475,772.983157579853,597502.96190212,0.789614465068828,0.623491003445932,3.01213833571686,0,641420.386484946,3.09232507906138
2,4,1,0.547770864819509,0.547770864819509,4.86101577600356,23.6294743745554,0.789614465068828,0.623491003445932,3.01213833571686,0,18.9200962068947,6.59987389262597
2,5,1,0.563150689194512,0.563150689194512,27.5250418067243,757.627926461922,0.789614465068828,0.623491003445932,3.01213833571686,0,916.322175471958,3.55616821836856
2,6,0,0.576861392242954,0.576861392242954,5.30583337128689,28.1518677638616,0.789614465068828,0.623491003445932,3.01213833571686,0,66.0598011317408,6.48711475012048
2,7,0,0.518004415155829,0.518004415155829,3.54396475697634,12.5596861986904,0.789614465068828,0.623491003445932,3.01213833571686,0,10.7772462164631,3.39244782381922
2,8,0,0.553331355145221,0.553331355145221,6.00178925207822,36.0214742263617,0.789614465068828,0.623491003445932,3.01213833571686,0,12.7339266145702,1.98135792718633
2,9,0,0.543139401028694,0.543139401028694,9.86118447503485,97.2429592506683,0.789614465068828,0.623491003445932,3.01213833571686,0,24.7963412646221,9.37644615743869
2,10,0,0.536054581798721,0.536054581798721,12.7917413515166,163.6286468041,0.789614465068828,0.623491003445932,3.01213833571686,0,54.7935961643297,7.59733912933137
3,1,1,0.524811338540114,0.524811338540114,57.2891779049273,3282.04990502241,1.09656143854846,1.20244698851146,4.15413322642832,0,1318.35247354016,4.45302838662698
3,2,1,0.54871193558478,0.54871193558478,5.27828140389722,27.8602545787272,1.09656143854846,1.20244698851146,4.15413322642832,0,9.95054325227261,3.00821346866435
