draw_id,index,is_signal,marginal_score,z_score_clipped,beta_draw,abs_beta_draw,lambda_draw,lambda2_draw,tau_draw,tau2_draw,c2_draw,eta_draw,base_scale_draw,guided_scale_draw,kappa2_draw
1,1,1,0.594602175697219,1.05831072417065,0.59238862938343,0.59238862938343,3.56473173176924,12.7073123194825,1.05869855320938,1.12084262656764,15.0168882248943,2.09625175686549,14.2428973167841,130.940636420316,13.4718707103323
1,2,1,0.607711773019381,1.07493597702132,0.530655902846666,0.530655902846666,6.76324258039931,45.7414502013264,1.05869855320938,1.12084262656764,15.0168882248943,2.09625175686549,4.4164131611545,38.9703338303372,3.43880299719216
1,3,1,0.407857993045979,0.770928265298566,0.518474068050657,0.518474068050657,9.30445619188783,86.5729050267598,1.05869855320938,1.12084262656764,15.0168882248943,2.09625175686549,43.4935949761435,126.36852553741,4.49154879905213
1,4,1,0.445945651335741,0.838988569048907,0.583413237029247,0.583413237029247,40.9993255407533,1680.94469479667,1.05869855320938,1.12084262656764,15.0168882248943,2.09625175686549,119.99179814261,264.758434418104,6.58979716238642
1,5,1,0.25430128133984,0.410799149489766,0.540315656408037,0.540315656408037,7.0385773409677,49.541570984784,1.05869855320938,1.12084262656764,15.0168882248943,2.09625175686549,15.3895864431958,44.8537895821789,6.31398196538181
1,6,0,0.0516409186743659,-0.804520073806401,0.581604351785565,0.581604351785565,4.43790756328708,19.6950235402806,1.05869855320938,1.12084262656764,15.0168882248943,2.09625175686549,16.2766794267594,81.0178214018691,8.19414415423587
1,7,0,0.0971398505644523,-0.322850333852319,0.619620414105356,0.619620414105356,5.132985685104,26.3475420434826,1.05869855320938,1.12084262656764,15.0168882248943,2.09625175686549,2.59056150654771,34.9902548574393,3.63878744524933
1,8,0,0.0412430008908442,-0.97591612149416,0.512875922208659,0.512875922208659,2.57188440661881,6.61458940100901,1.05869855320938,1.12084262656764,15.0168882248943,2.09625175686549,1.08309012007309,3.25577306045485,2.36982884120817
1,9,0,0.118149737258307,-0.173584183200953,0.533663749627591,0.533663749627591,5.12105112099904,26.2251645838855,1.05869855320938,1.12084262656764,15.0168882248943,2.09625175686549,321.945792569867,874.607122849307,4.29757260811431
1,10,0,0.0126456455275406,-1.87709197267538,0.524537469116453,0.524537469116453,2.49737045066506,6.23685916785498,1.05869855320938,1.12084262656764,15.0168882248943,2.09625175686549,46.5558154870475,375.462873189122,5.21745474478208
2,1,1,0.594602175697219,1.05831072417065,0.515079983411847,0.515079983411847,6.03426639414317,36.4123709154857,0.310727637434381,0.0965516646655518,3.77161629783574,2.05749858834669,61.9421816932177,148.917548888631,26.3065391868132
2,2,1,0.607711773019381,1.07493597702132,0.544011069580851,0.544011069580851,9.25976256418229,85.7432027450319,0.310727637434381,0.0965516646655518,3.77161629783574,2.05749858834669,26.7491223787703,240.33262287852,4.90031089485109
2,3,1,0.407857993045979,0.770928265298566,0.582141439388846,0.582141439388846,3.65804073634099,13.3812620287301,0.310727637434381,0.0965516646655518,3.77161629783574,2.05749858834669,1.33301066118863,15.9898406619158,4.71890753367756
2,4,1,0.445945651335741,0.838988569048907,0.56826781519126,0.56826781519126,4.28505270856894,18.361676715214,0.310727637434381,0.0965516646655518,3.77161629783574,2.05749858834669,1.8117663257794,7.67519356248468,3.5867087989864
2,5,1,0.25430128133984,0.410799149489766,0.580057813109705,0.580057813109705,1.32622577762977,1.7588748132497,0.310727637434381,0.0965516646655518,3.77161629783574,2.05749858834669,0.78356285720251,5.5419915196131,2.58222495213764
2,6,0,0.0516409186743659,-0.804520073806401,0.53393375440473,0.53393375440473,1.37674586453302,1.89542917550878,0.310727637434381,0.0965516646655518,3.77161629783574,2.05749858834669,0.985715577526716,2.49280735376932,1.71348881636005
2,7,0,0.0971398505644523,-0.322850333852319,0.533775299360847,0.533775299360847,2.06391883657859,4.25976096398393,0.310727637434381,0.0965516646655518,3.77161629783574,2.05749858834669,0.502465335991889,6.25713435975305,3.77381620447798
2,8,0,0.0412430008908442,-0.97591612149416,0.530097036451584,0.530097036451584,2.55520187554347,6.52905662478085,0.310727637434381,0.0965516646655518,3.77161629783574,2.05749858834669,0.505489718120124,7.36272150284763,3.04489397646549
2,9,0,0.118149737258307,-0.173584183200953,0.582458903256823,0.582458903256823,4.33858471524338,18.8233173313435,0.310727637434381,0.0965516646655518,3.77161629783574,2.05749858834669,7.65264444261481,188.728402661314,9.6562033361025
2,10,0,0.0126456455275406,-1.87709197267538,0.57770295725569,0.57770295725569,22.604631579094,510.969368826576,0.310727637434381,0.0965516646655518,3.77161629783574,2.05749858834669,91.938936321632,1021.91717059307,4.11397139798973
3,1,1,0.594602175697219,1.05831072417065,0.537804147347544,0.537804147347544,1.83673140825058,3.37358226605417,0.708796652017742,0.502392693911561,4.65707645779588,1.00782193187281,0.432869830289375,3.3396372469642,2.13981699495196
3,2,1,0.607711773019381,1.07493597702132,0.531021973039569,0.531021973039569,3.56239235247535,12.6906392729749,0.708796652017742,0.502392693911561,4.65707645779588,1.00782193187281,2.12717054728201,16.5004875884064,9.52814538097491
3,3,1,0.407857993045979,0.770928265298566,0.530267124187304,0.530267124187304,2.21119247681943,4.88937216954286,0.708796652017742,0.502392693911561,4.65707645779588,1.00782193187281,0.71980680230839,2.50541793424378,1.46061144159035
3,4,1,0.445945651335741,0.838988569048907,0.547765591336132,0.547765591336132,2.83186177572392,8.01944111680625,0.708796652017742,0.502392693911561,4.65707645779588,1.00782193187281,3.82709992856808,31.3312718367834,3.92950979537086
3,5,1,0.25430128133984,0.410799149489766,0.528040547561185,0.528040547561185,0.721034097335713,0.519890169520727,0.708796652017742,0.502392693911561,4.65707645779588,1.00782193187281,0.307895161611826,3.01284668503117,1.57120160507381
3,6,0,0.0516409186743659,-0.804520073806401,0.543839283971506,0.543839283971506,3.40447136385631,11.5904252673176,0.708796652017742,0.502392693911561,4.65707645779588,1.00782193187281,3.23806371793991,18.6101062735729,5.83463166077647
3,7,0,0.0971398505644523,-0.322850333852319,0.54623209560298,0.54623209560298,3.5783390051179,12.8045100355482,0.708796652017742,0.502392693911561,4.65707645779588,1.00782193187281,9.90057738882303,37.2938056648371,6.82085189275785
3,8,0,0.0412430008908442,-0.97591612149416,0.586371040246404,0.586371040246404,1.3710932902933,1.87989681068732,0.708796652017742,0.502392693911561,4.65707645779588,1.00782193187281,0.376550057089459,3.96560447926496,2.07007509381969
3,9,0,0.118149737258307,-0.173584183200953,0.528053694286365,0.528053694286365,8.43045595095811,71.0725875410451,0.708796652017742,0.502392693911561,4.65707645779588,1.00782193187281,3.10279569469701,81.1876263505026,6.61723558079901
3,10,0,0.0126456455275406,-1.87709197267538,0.556855996986916,0.556855996986916,0.831661620388608,0.691661050827406,0.708796652017742,0.502392693911561,4.65707645779588,1.00782193187281,0.0779881349941022,2.51303344639569,1.92237619257411
