index,beta_true_raw,beta_true_std,is_signal,marginal_score,log_marginal_score,z_score,z_score_clipped,beta_mean,beta_median,beta_sd,ci_2p5,ci_97p5,abs_beta_mean,abs_beta_median,post_prob_abs_gt_thresh,selected_mean_thresh,selected_median_thresh,selected_ci_excludes_zero,sign_beta_mean,sign_beta_median,lambda2_mean,lambda2_median,guided_scale_mean,guided_scale_median,kappa2_mean,kappa2_median
1,2.5,0.559372243347489,1,0.594602175697219,-0.519861027535633,1.05831072417065,1.05831072417065,0.554393511572563,0.555140646728126,0.0225888952265737,0.511182773676097,0.600452942285058,0.554393511572563,0.555140646728126,1,1,1,1,1,1,3463.01632595023,12.3511085289598,6911.44068185781,14.4558897457797,4.44512667289588,3.51212789304071
2,-2,-0.447497794677992,1,0.607711773019381,-0.498052921435122,1.07493597702132,1.07493597702132,-0.449184131974534,-0.449814561565027,0.0212501801992649,-0.490605224098795,-0.406338057964647,0.449184131974534,0.449814561565027,1,1,1,1,-1,-1,19886.7015488335,7.97248281063178,34948.5878169469,11.2845915857174,4.04516019514152,3.26763203663301
3,1.8,0.402748015210192,1,0.407857993045979,-0.896833769592708,0.770928265298566,0.770928265298566,0.39542802265295,0.39530162231464,0.0226480714690361,0.351275673609279,0.441302512277318,0.39542802265295,0.39530162231464,1,1,1,1,1,1,7114.81955842733,7.48429567493181,2277.49837737315,6.63629287621118,3.32745130569212,2.55481337334461
4,-1.5,-0.335623346008494,1,0.445945651335741,-0.807555949955764,0.838988569048907,0.838988569048907,-0.337383453932971,-0.337267175064159,0.0225913905755473,-0.379325991072396,-0.291361451646986,0.337383453932971,0.337267175064159,1,1,1,1,-1,-1,6456.55729121718,6.08271026276525,12555.3476922486,5.07751873470087,3.18480314866589,2.39308837573484
5,1.2,0.268498676806795,1,0.25430128133984,-1.36923163553713,0.410799149489766,0.410799149489766,0.266313276411234,0.265921342446405,0.0222887771672648,0.22535539050209,0.308925897794779,0.266313276411234,0.265921342446405,1,1,1,1,1,1,268.151655062705,7.34703966869452,142.919160362829,2.67676025866478,2.36073096461855,1.81764036733881
6,0,0,0,0.0516409186743659,-2.96342155888435,-0.804520073806401,-0.804520073806401,-0.00180109977996588,-0.000792811909838222,0.015074168332874,-0.0354142899565956,0.0278765697703014,0.0107716668651315,0.00773940500856983,0.40625,0,0,0,-1,-1,12.5921116151212,0.228970391923376,1.27024569594991,0.00727166648676088,0.17051969586428,0.00726153266724122
7,0,0,0,0.0971398505644523,-2.3315932860348,-0.322850333852319,-0.322850333852319,0.00168893651505587,0.000735181186051988,0.0165361223044785,-0.0328915440708524,0.0380479825342416,0.0116012431005558,0.00760137765636542,0.42125,0,0,0,1,1,3172.67345954356,0.143121456473213,3287.61596635605,0.0108497885559393,0.183122321523135,0.0108262205661743
8,0,0,0,0.0412430008908442,-3.18824960972708,-0.97591612149416,-0.97591612149416,0.00261198945636523,0.00101386580800538,0.0135398033667197,-0.0236425026166049,0.0313951004617505,0.0094974180535135,0.00624113770751494,0.34625,0,0,0,1,1,12.1971457714432,0.271360330198877,2.25973081675655,0.00537157918168132,0.102964760273998,0.00536614713495148
9,0,0,0,0.118149737258307,-2.13579403534917,-0.173584183200953,-0.173584183200953,0.00448866435762985,0.00142936878852274,0.0166719904736491,-0.0237886735266749,0.0428110662256319,0.0122428005651635,0.00887365368234292,0.45875,0,0,0,1,1,13.987067933062,0.169892358952245,22.8963456043838,0.0166671254363114,0.219680890422519,0.0166076223568273
10,0,0,0,0.0126456455275406,-4.37036327466238,-1.87709197267538,-1.87709197267538,0.000955031274469569,8.51265624670057e-05,0.0108233146844911,-0.0217121192374751,0.026820415018534,0.00698661928822699,0.00399057162634116,0.24375,0,0,0,1,1,10.0561006401171,0.383186204528813,0.0590434936660202,0.00144273528379613,0.0392538479688484,0.00144213059871609
