"Method","L2_beta","L1_beta","RMSE_beta","PredMSE","TPR","FPR","MCC","FDR","CompTime"
"SIS-LASSO","0.3908 (0.03541)","2.0826 (0.22573)","0.0004 (0.00004)","0.0652 (0.00854)","0.7200 (0.03590)","0.0000 (0.00000)","0.3288 (0.02327)","0.8485 (0.01450)","1.5778 (0.02521)"
"SIS-SCAD","0.3888 (0.03940)","2.0362 (0.31126)","0.0004 (0.00004)","0.0679 (0.00850)","0.7200 (0.03590)","0.0000 (0.00001)","0.3701 (0.03923)","0.7942 (0.04369)","1.8266 (0.01773)"
"SIS-RHS","0.3469 (0.03396)","1.6762 (0.20107)","0.0003 (0.00003)","0.0634 (0.00874)","0.7200 (0.03590)","0.0000 (0.00000)","0.3898 (0.03839)","0.7817 (0.03421)","57.5528 (0.48448)"
"BUGS-Active","0.3383 (0.02293)","2.2601 (0.10055)","0.0003 (0.00002)","0.0914 (0.01032)","0.6500 (0.03727)","0.0000 (0.00000)","0.8034 (0.02230)","0.0000 (0.00000)","73574.5581 (169.46150)"
