"Method","L2_beta","L1_beta","RMSE_beta","PredMSE","TPR","FPR","MCC","FDR","CompTime"
"LASSO","0.156 (0.0103)","0.782 (0.0687)","0.007 (0.0005)","0.017 (0.0018)","1.000 (0.0000)","0.031 (0.0043)","0.639 (0.0296)","0.572 (0.0381)","0.09 (0.005)"
"UniLASSO","0.142 (0.0111)","0.525 (0.0484)","0.006 (0.0005)","0.021 (0.0029)","0.990 (0.0100)","0.014 (0.0026)","0.779 (0.0328)","0.369 (0.0524)","0.07 (0.005)"
"BayesLASSO","0.362 (0.0153)","4.480 (0.1307)","0.016 (0.0007)","0.044 (0.0020)","1.000 (0.0000)","0.259 (0.0102)","0.234 (0.0062)","0.926 (0.0029)","8.84 (0.574)"
"Dirich-Laplace","0.126 (0.0247)","0.534 (0.0821)","0.006 (0.0011)","0.017 (0.0072)","1.000 (0.0000)","0.000 (0.0003)","0.990 (0.0063)","0.018 (0.0121)","170.94 (17.476)"
"R2D2","0.096 (0.0046)","0.966 (0.0316)","0.004 (0.0002)","0.015 (0.0011)","1.000 (0.0000)","0.014 (0.0017)","0.777 (0.0235)","0.384 (0.0381)","165.82 (16.126)"
"SSLASSO","0.199 (0.0088)","1.528 (0.0626)","0.009 (0.0004)","0.031 (0.0020)","1.000 (0.0000)","0.094 (0.0033)","0.404 (0.0072)","0.820 (0.0059)","0.32 (0.040)"
"Horseshoe","0.109 (0.0111)","1.113 (0.1396)","0.005 (0.0005)","0.020 (0.0042)","1.000 (0.0000)","0.025 (0.0075)","0.715 (0.0478)","0.459 (0.0631)","9.78 (0.125)"
"Horseshoe+","0.093 (0.0064)","0.798 (0.0652)","0.004 (0.0003)","0.013 (0.0018)","1.000 (0.0000)","0.014 (0.0030)","0.780 (0.0326)","0.375 (0.0495)","9.81 (0.033)"
"Mhorseshoe","0.074 (0.0044)","0.636 (0.0330)","0.003 (0.0002)","0.008 (0.0008)","1.000 (0.0000)","0.004 (0.0011)","0.910 (0.0211)","0.165 (0.0376)","66.39 (6.414)"
"BUGS","0.096 (0.0332)","0.514 (0.0940)","0.004 (0.0015)","0.020 (0.0158)","1.000 (0.0000)","0.000 (0.0002)","0.995 (0.0048)","0.009 (0.0091)","120.77 (0.468)"
"BUGS-Active","0.096 (0.0332)","0.514 (0.0940)","0.004 (0.0015)","0.020 (0.0158)","1.000 (0.0000)","0.000 (0.0002)","0.995 (0.0048)","0.009 (0.0091)","166.63 (0.151)"
