"Method","L2_beta","L1_beta","RMSE_beta","PredMSE","TPR","FPR","MCC","FDR","CompTime"
"LASSO","0.178 (0.0127)","0.829 (0.0597)","0.013 (0.0009)","0.020 (0.0024)","1.000 (0.0000)","0.081 (0.0080)","0.609 (0.0198)","0.594 (0.0228)","0.07 (0.003)"
"UniLASSO","0.206 (0.0150)","0.710 (0.0633)","0.015 (0.0011)","0.045 (0.0052)","0.960 (0.0221)","0.041 (0.0053)","0.720 (0.0285)","0.428 (0.0399)","0.05 (0.003)"
"BayesLASSO","0.329 (0.0170)","3.162 (0.1272)","0.023 (0.0012)","0.039 (0.0025)","1.000 (0.0000)","0.512 (0.0094)","0.213 (0.0038)","0.907 (0.0015)","1.70 (0.018)"
"Dirich-Laplace","0.187 (0.0301)","0.650 (0.0963)","0.013 (0.0021)","0.031 (0.0086)","1.000 (0.0000)","0.002 (0.0009)","0.980 (0.0080)","0.036 (0.0148)","19.15 (1.687)"
"R2D2","0.104 (0.0063)","0.718 (0.0324)","0.007 (0.0004)","0.012 (0.0013)","1.000 (0.0000)","0.044 (0.0057)","0.732 (0.0234)","0.436 (0.0324)","25.26 (1.082)"
"SSLASSO","0.203 (0.0165)","1.224 (0.1055)","0.014 (0.0012)","0.024 (0.0024)","1.000 (0.0000)","0.172 (0.0096)","0.444 (0.0112)","0.762 (0.0091)","0.09 (0.024)"
"Horseshoe","0.111 (0.0069)","0.847 (0.0502)","0.008 (0.0005)","0.015 (0.0017)","1.000 (0.0000)","0.058 (0.0098)","0.688 (0.0321)","0.492 (0.0412)","1.71 (0.022)"
"Horseshoe+","0.101 (0.0060)","0.687 (0.0324)","0.007 (0.0004)","0.012 (0.0013)","1.000 (0.0000)","0.041 (0.0048)","0.741 (0.0200)","0.426 (0.0280)","1.79 (0.030)"
"Mhorseshoe","0.092 (0.0067)","0.621 (0.0357)","0.007 (0.0005)","0.010 (0.0012)","1.000 (0.0000)","0.018 (0.0037)","0.864 (0.0243)","0.235 (0.0398)","17.00 (1.847)"
"BUGS","0.111 (0.0087)","0.528 (0.0354)","0.008 (0.0006)","0.010 (0.0018)","1.000 (0.0000)","0.002 (0.0008)","0.985 (0.0075)","0.027 (0.0139)","48.43 (0.153)"
"BUGS-Active","0.111 (0.0087)","0.528 (0.0354)","0.008 (0.0006)","0.010 (0.0018)","1.000 (0.0000)","0.002 (0.0008)","0.985 (0.0075)","0.027 (0.0139)","61.49 (0.118)"
