"Method","L2_beta","L1_beta","RMSE_beta","PredMSE","TPR","FPR","MCC","FDR","CompTime"
"LASSO","0.885 (0.0364)","3.953 (0.1817)","0.009 (0.0004)","0.116 (0.0116)","0.780 (0.0200)","0.005 (0.0005)","0.338 (0.0195)","0.849 (0.0161)","2.95 (0.127)"
"UniLASSO","1.123 (0.0278)","5.431 (0.4177)","0.011 (0.0003)","0.187 (0.0280)","0.520 (0.0200)","0.007 (0.0012)","0.251 (0.0531)","0.824 (0.0928)","1.17 (0.028)"
"BayesLASSO","1.359 (0.0227)","14.792 (0.0911)","0.014 (0.0002)","0.093 (0.0041)","0.190 (0.0314)","0.000 (0.0000)","0.422 (0.0365)","0.000 (0.0000)","67.48 (0.381)"
"SSLASSO","0.617 (0.0649)","4.637 (0.3972)","0.006 (0.0006)","0.089 (0.0037)","0.920 (0.0389)","0.010 (0.0004)","0.281 (0.0144)","0.913 (0.0054)","182.74 (17.869)"
"Horseshoe","0.156 (0.0090)","2.832 (0.0804)","0.002 (0.0001)","0.096 (0.0038)","1.000 (0.0000)","0.002 (0.0001)","0.626 (0.0082)","0.607 (0.0103)","68.28 (0.379)"
"Horseshoe+","0.184 (0.0134)","2.865 (0.1048)","0.002 (0.0001)","0.096 (0.0038)","1.000 (0.0000)","0.002 (0.0001)","0.575 (0.0096)","0.668 (0.0110)","69.74 (0.232)"
"BUGS","0.346 (0.0595)","1.886 (0.2684)","0.003 (0.0006)","0.042 (0.0098)","0.960 (0.0267)","0.000 (0.0001)","0.903 (0.0248)","0.143 (0.0429)","2155.98 (5.007)"
"BUGS-Active","0.174 (0.0321)","1.573 (0.1229)","0.002 (0.0003)","0.022 (0.0029)","0.980 (0.0200)","0.000 (0.0000)","0.954 (0.0184)","0.069 (0.0263)","1596.66 (6.632)"
