"Method","L2_beta","L1_beta","RMSE_beta","PredMSE","TPR","FPR","MCC","FDR","CompTime"
"LASSO","0.459 (0.0466)","2.268 (0.2422)","0.032 (0.0033)","0.051 (0.0054)","0.990 (0.0100)","0.173 (0.0152)","0.443 (0.0226)","0.757 (0.0182)","0.06 (0.005)"
"UniLASSO","1.010 (0.0822)","3.069 (0.2275)","0.071 (0.0058)","0.334 (0.0418)","0.450 (0.0500)","0.026 (0.0082)","0.465 (0.0319)","0.417 (0.0793)","0.07 (0.009)"
"BayesLASSO","0.781 (0.0591)","5.528 (0.2479)","0.055 (0.0042)","0.074 (0.0073)","0.990 (0.0100)","0.638 (0.0109)","0.162 (0.0065)","0.924 (0.0015)","2.06 (0.147)"
"Dirich-Laplace","0.737 (0.0978)","2.349 (0.3091)","0.052 (0.0069)","0.196 (0.0396)","0.790 (0.0526)","0.004 (0.0016)","0.842 (0.0405)","0.080 (0.0339)","36.04 (3.347)"
"R2D2","0.216 (0.0218)","1.180 (0.0918)","0.015 (0.0015)","0.025 (0.0033)","1.000 (0.0000)","0.065 (0.0095)","0.663 (0.0292)","0.526 (0.0370)","36.53 (2.967)"
"SSLASSO","0.525 (0.0624)","3.058 (0.3498)","0.037 (0.0044)","0.058 (0.0062)","0.990 (0.0100)","0.261 (0.0139)","0.351 (0.0126)","0.830 (0.0079)","0.22 (0.045)"
"Horseshoe","0.220 (0.0199)","1.308 (0.0992)","0.016 (0.0014)","0.028 (0.0036)","1.000 (0.0000)","0.089 (0.0142)","0.604 (0.0375)","0.591 (0.0459)","1.96 (0.025)"
"Horseshoe+","0.202 (0.0187)","1.092 (0.0788)","0.014 (0.0013)","0.024 (0.0032)","1.000 (0.0000)","0.054 (0.0086)","0.703 (0.0348)","0.470 (0.0487)","2.03 (0.022)"
"Mhorseshoe","0.226 (0.0211)","1.177 (0.0937)","0.016 (0.0015)","0.025 (0.0033)","1.000 (0.0000)","0.049 (0.0115)","0.731 (0.0415)","0.428 (0.0579)","14.56 (1.015)"
"BUGS","0.311 (0.0277)","1.178 (0.1010)","0.022 (0.0020)","0.035 (0.0056)","0.990 (0.0100)","0.014 (0.0042)","0.886 (0.0278)","0.189 (0.0459)","61.38 (0.147)"
"BUGS-Active","0.311 (0.0277)","1.178 (0.1010)","0.022 (0.0020)","0.035 (0.0056)","0.990 (0.0100)","0.014 (0.0042)","0.886 (0.0278)","0.189 (0.0459)","60.10 (0.145)"
