"Method","L2_beta","L1_beta","RMSE_beta","PredMSE","TPR","FPR","MCC","FDR","CompTime"
"LASSO","0.391 (0.0290)","2.267 (0.2215)","0.012 (0.0009)","0.044 (0.0040)","1.000 (0.0000)","0.050 (0.0057)","0.413 (0.0191)","0.818 (0.0156)","0.13 (0.005)"
"UniLASSO","0.918 (0.0690)","2.957 (0.1481)","0.029 (0.0022)","0.268 (0.0396)","0.600 (0.0596)","0.013 (0.0045)","0.493 (0.0314)","0.509 (0.0859)","0.17 (0.007)"
"BayesLASSO","0.999 (0.0286)","10.021 (0.1945)","0.032 (0.0009)","0.075 (0.0030)","0.920 (0.0249)","0.255 (0.0092)","0.151 (0.0069)","0.964 (0.0016)","14.46 (1.586)"
"Dirich-Laplace","0.427 (0.0622)","1.622 (0.1835)","0.014 (0.0020)","0.077 (0.0214)","0.980 (0.0200)","0.000 (0.0001)","0.984 (0.0158)","0.011 (0.0111)","890.62 (8.651)"
"R2D2","0.133 (0.0091)","1.634 (0.0497)","0.004 (0.0003)","0.026 (0.0014)","1.000 (0.0000)","0.010 (0.0012)","0.708 (0.0210)","0.490 (0.0294)","895.40 (6.293)"
"SSLASSO","0.508 (0.0655)","3.989 (0.3632)","0.016 (0.0021)","0.070 (0.0027)","1.000 (0.0000)","0.099 (0.0045)","0.291 (0.0062)","0.906 (0.0035)","3.13 (0.374)"
"Horseshoe","0.126 (0.0109)","1.376 (0.1775)","0.004 (0.0003)","0.024 (0.0058)","1.000 (0.0000)","0.011 (0.0038)","0.732 (0.0416)","0.444 (0.0540)","14.79 (1.055)"
"Horseshoe+","0.188 (0.0209)","2.064 (0.2407)","0.006 (0.0007)","0.042 (0.0069)","1.000 (0.0000)","0.029 (0.0051)","0.529 (0.0369)","0.701 (0.0396)","14.98 (0.865)"
"Mhorseshoe","0.105 (0.0067)","0.951 (0.0373)","0.003 (0.0002)","0.012 (0.0010)","1.000 (0.0000)","0.003 (0.0006)","0.883 (0.0219)","0.214 (0.0389)","129.63 (2.658)"
"BUGS","0.103 (0.0081)","0.672 (0.0212)","0.003 (0.0003)","0.008 (0.0006)","1.000 (0.0000)","0.001 (0.0003)","0.973 (0.0129)","0.050 (0.0242)","348.02 (0.453)"
"BUGS-Active","0.103 (0.0081)","0.672 (0.0212)","0.003 (0.0003)","0.008 (0.0006)","1.000 (0.0000)","0.001 (0.0003)","0.973 (0.0129)","0.050 (0.0242)","270.88 (0.237)"
