"Method","L2_beta","L1_beta","RMSE_beta","PredMSE","TPR","FPR","MCC","FDR","CompTime"
"LASSO","0.417 (0.0286)","2.452 (0.1967)","0.019 (0.0013)","0.052 (0.0045)","0.990 (0.0100)","0.097 (0.0092)","0.404 (0.0226)","0.815 (0.0184)","0.08 (0.005)"
"UniLASSO","0.896 (0.0568)","2.946 (0.1957)","0.040 (0.0025)","0.263 (0.0333)","0.600 (0.0298)","0.025 (0.0066)","0.479 (0.0397)","0.551 (0.0816)","0.09 (0.004)"
"BayesLASSO","0.871 (0.0386)","7.667 (0.1158)","0.039 (0.0017)","0.077 (0.0051)","0.970 (0.0153)","0.435 (0.0104)","0.151 (0.0041)","0.956 (0.0009)","3.99 (0.070)"
"Dirich-Laplace","0.479 (0.0653)","1.602 (0.2156)","0.021 (0.0029)","0.106 (0.0394)","0.900 (0.0365)","0.001 (0.0005)","0.926 (0.0242)","0.040 (0.0214)","362.15 (22.570)"
"R2D2","0.178 (0.0166)","1.457 (0.0722)","0.008 (0.0007)","0.028 (0.0026)","1.000 (0.0000)","0.027 (0.0030)","0.653 (0.0210)","0.558 (0.0268)","349.64 (24.327)"
"SSLASSO","0.453 (0.0325)","3.301 (0.2120)","0.020 (0.0015)","0.067 (0.0042)","0.970 (0.0153)","0.149 (0.0057)","0.311 (0.0109)","0.881 (0.0051)","0.81 (0.113)"
"Horseshoe","0.179 (0.0204)","1.472 (0.1816)","0.008 (0.0009)","0.031 (0.0061)","1.000 (0.0000)","0.033 (0.0091)","0.655 (0.0435)","0.543 (0.0533)","4.15 (0.063)"
"Horseshoe+","0.158 (0.0146)","1.131 (0.0882)","0.007 (0.0007)","0.023 (0.0032)","1.000 (0.0000)","0.022 (0.0032)","0.699 (0.0271)","0.495 (0.0374)","4.43 (0.044)"
"Mhorseshoe","0.159 (0.0186)","1.099 (0.0727)","0.007 (0.0008)","0.020 (0.0023)","1.000 (0.0000)","0.013 (0.0025)","0.796 (0.0315)","0.350 (0.0500)","67.54 (5.155)"
"BUGS","0.185 (0.0249)","0.907 (0.0818)","0.008 (0.0011)","0.017 (0.0027)","0.980 (0.0200)","0.003 (0.0010)","0.931 (0.0199)","0.108 (0.0376)","146.41 (0.318)"
"BUGS-Active","0.185 (0.0249)","0.907 (0.0818)","0.008 (0.0011)","0.017 (0.0027)","0.980 (0.0200)","0.003 (0.0010)","0.931 (0.0199)","0.108 (0.0376)","149.18 (0.160)"
