index,var,truth_label,value,model,model_truth
1,X1,True variable,116.82339100654558,Guided,Guided | True variable
2,X2,True variable,435.433167840944,Guided,Guided | True variable
3,X3,True variable,435.74038649471817,Guided,Guided | True variable
4,X4,True variable,9757.997601191144,Guided,Guided | True variable
5,X5,True variable,117.20805152899796,Guided,Guided | True variable
6,X6,Noise variable,3.6469433322122127,Guided,Guided | Noise variable
7,X7,Noise variable,13.391221897379912,Guided,Guided | Noise variable
8,X8,Noise variable,0.855141642953442,Guided,Guided | Noise variable
9,X9,Noise variable,18.22589310535145,Guided,Guided | Noise variable
10,X10,Noise variable,0.12192116540277942,Guided,Guided | Noise variable
1,X1,True variable,321.30197025306865,Guided,Guided | True variable
2,X2,True variable,782.9243454331702,Guided,Guided | True variable
3,X3,True variable,65.36841494206236,Guided,Guided | True variable
4,X4,True variable,103.18087352776729,Guided,Guided | True variable
5,X5,True variable,4.095517013340194,Guided,Guided | True variable
6,X6,Noise variable,0.36209320590557853,Guided,Guided | Noise variable
7,X7,Noise variable,2.192295001085331,Guided,Guided | Noise variable
8,X8,Noise variable,0.8766183331025312,Guided,Guided | Noise variable
9,X9,Noise variable,13.170074506209652,Guided,Guided | Noise variable
10,X10,Noise variable,10.742368127765708,Guided,Guided | Noise variable
1,X1,True variable,9.801779249893146,Guided,Guided | True variable
2,X2,True variable,37.495041950414695,Guided,Guided | True variable
3,X3,True variable,10.633637420213335,Guided,Guided | True variable
4,X4,True variable,18.67937200658738,Guided,Guided | True variable
5,X5,True variable,0.7865292951215167,Guided,Guided | True variable
6,X6,Noise variable,5.151904098832171,Guided,Guided | Noise variable
7,X7,Noise variable,9.248134062702933,Guided,Guided | Noise variable
8,X8,Noise variable,0.7030461208890407,Guided,Guided | Noise variable
9,X9,Noise variable,59.66584628498182,Guided,Guided | Noise variable
10,X10,Noise variable,0.10430523645732008,Guided,Guided | Noise variable
1,X1,True variable,170.29336751129466,Guided,Guided | True variable
2,X2,True variable,3.099922606459028,Guided,Guided | True variable
3,X3,True variable,1.7904065886978382,Guided,Guided | True variable
4,X4,True variable,6.06488027685699,Guided,Guided | True variable
5,X5,True variable,6.092009273112384,Guided,Guided | True variable
6,X6,Noise variable,206.86039212081545,Guided,Guided | Noise variable
7,X7,Noise variable,3.2181854884456245,Guided,Guided | Noise variable
8,X8,Noise variable,4.152549666402309,Guided,Guided | Noise variable
9,X9,Noise variable,241.5923343764073,Guided,Guided | Noise variable
10,X10,Noise variable,0.3478166069978568,Guided,Guided | Noise variable
1,X1,True variable,73.21054199790059,Guided,Guided | True variable
2,X2,True variable,4.1591115063467186,Guided,Guided | True variable
3,X3,True variable,6.143747430607041,Guided,Guided | True variable
4,X4,True variable,80.22749521022118,Guided,Guided | True variable
5,X5,True variable,5.422733014734665,Guided,Guided | True variable
6,X6,Noise variable,0.45313718319474294,Guided,Guided | Noise variable
7,X7,Noise variable,0.7017032956373989,Guided,Guided | Noise variable
8,X8,Noise variable,1.0045689863998517,Guided,Guided | Noise variable
9,X9,Noise variable,15.23589638755928,Guided,Guided | Noise variable
10,X10,Noise variable,342.5304140081307,Guided,Guided | Noise variable
1,X1,True variable,27832.872523376856,Guided,Guided | True variable
2,X2,True variable,0.6896209414086415,Guided,Guided | True variable
3,X3,True variable,442.5386502487372,Guided,Guided | True variable
4,X4,True variable,70.29096258537868,Guided,Guided | True variable
5,X5,True variable,95.63179714941687,Guided,Guided | True variable
6,X6,Noise variable,36.418001882851044,Guided,Guided | Noise variable
7,X7,Noise variable,2.9016182420085808,Guided,Guided | Noise variable
8,X8,Noise variable,116.24041383405668,Guided,Guided | Noise variable
9,X9,Noise variable,0.18687839948516813,Guided,Guided | Noise variable
10,X10,Noise variable,0.3392655426602451,Guided,Guided | Noise variable
1,X1,True variable,6.081055128754808,Guided,Guided | True variable
2,X2,True variable,91.71121888515934,Guided,Guided | True variable
3,X3,True variable,39972.0616220698,Guided,Guided | True variable
4,X4,True variable,1184454.4152957294,Guided,Guided | True variable
5,X5,True variable,2922.648093960576,Guided,Guided | True variable
6,X6,Noise variable,9.308153973450096,Guided,Guided | Noise variable
7,X7,Noise variable,3.3585297655836293,Guided,Guided | Noise variable
8,X8,Noise variable,0.42548655196596347,Guided,Guided | Noise variable
9,X9,Noise variable,6.831106399021256,Guided,Guided | Noise variable
10,X10,Noise variable,0.19920408032317372,Guided,Guided | Noise variable
1,X1,True variable,6.345394779949467,Guided,Guided | True variable
2,X2,True variable,86.8521262747003,Guided,Guided | True variable
3,X3,True variable,17.635546237000668,Guided,Guided | True variable
4,X4,True variable,49.19846627428296,Guided,Guided | True variable
5,X5,True variable,25.085183783389162,Guided,Guided | True variable
6,X6,Noise variable,1.0558597030406114,Guided,Guided | Noise variable
7,X7,Noise variable,9.207034161490595,Guided,Guided | Noise variable
8,X8,Noise variable,0.15916461673756427,Guided,Guided | Noise variable
9,X9,Noise variable,3.868312493637939,Guided,Guided | Noise variable
10,X10,Noise variable,25.60803845335496,Guided,Guided | Noise variable
1,X1,True variable,0.34972860107955606,Guided,Guided | True variable
2,X2,True variable,58.41553150596811,Guided,Guided | True variable
3,X3,True variable,10.656592434827163,Guided,Guided | True variable
4,X4,True variable,13751.621857801067,Guided,Guided | True variable
5,X5,True variable,65.73641294039184,Guided,Guided | True variable
6,X6,Noise variable,0.17122793600957895,Guided,Guided | Noise variable
7,X7,Noise variable,35.52656978109111,Guided,Guided | Noise variable
8,X8,Noise variable,9.083749897380702,Guided,Guided | Noise variable
9,X9,Noise variable,1.052157027282352,Guided,Guided | Noise variable
10,X10,Noise variable,73.3631613098715,Guided,Guided | Noise variable
1,X1,True variable,1714.7283572826066,Guided,Guided | True variable
2,X2,True variable,14.54613861602968,Guided,Guided | True variable
3,X3,True variable,5.388260460968028,Guided,Guided | True variable
4,X4,True variable,66.48046038841922,Guided,Guided | True variable
5,X5,True variable,211.22178058406277,Guided,Guided | True variable
6,X6,Noise variable,5.2830709570228604,Guided,Guided | Noise variable
7,X7,Noise variable,7.686726202662915,Guided,Guided | Noise variable
8,X8,Noise variable,5.8203370993311205,Guided,Guided | Noise variable
9,X9,Noise variable,45.70274959604805,Guided,Guided | Noise variable
10,X10,Noise variable,122.41868050795968,Guided,Guided | Noise variable
1,X1,True variable,7.986269518884458,Guided,Guided | True variable
2,X2,True variable,7.172331435910055,Guided,Guided | True variable
3,X3,True variable,1.444984469669802,Guided,Guided | True variable
4,X4,True variable,182.78122937353197,Guided,Guided | True variable
5,X5,True variable,54.259863816228886,Guided,Guided | True variable
6,X6,Noise variable,6.836123763783739,Guided,Guided | Noise variable
7,X7,Noise variable,8.346783499385186,Guided,Guided | Noise variable
8,X8,Noise variable,964.5667519619931,Guided,Guided | Noise variable
9,X9,Noise variable,37.94638810906608,Guided,Guided | Noise variable
10,X10,Noise variable,2.2691745717036724,Guided,Guided | Noise variable
1,X1,True variable,33.858334193226014,Guided,Guided | True variable
2,X2,True variable,136.95439117003824,Guided,Guided | True variable
3,X3,True variable,36.77893080407693,Guided,Guided | True variable
4,X4,True variable,75.88908143400995,Guided,Guided | True variable
5,X5,True variable,229.3312548145252,Guided,Guided | True variable
6,X6,Noise variable,46.72810378748504,Guided,Guided | Noise variable
7,X7,Noise variable,1.2489176914294777,Guided,Guided | Noise variable
8,X8,Noise variable,7.0043548710270676,Guided,Guided | Noise variable
9,X9,Noise variable,13.03199674944528,Guided,Guided | Noise variable
10,X10,Noise variable,0.06660162381457521,Guided,Guided | Noise variable
1,X1,True variable,25.752147593932065,Guided,Guided | True variable
2,X2,True variable,804.9415406009242,Guided,Guided | True variable
3,X3,True variable,3.7932772721540564,Guided,Guided | True variable
4,X4,True variable,101.15604261300999,Guided,Guided | True variable
5,X5,True variable,104.47769911789335,Guided,Guided | True variable
6,X6,Noise variable,1.4220343504934838,Guided,Guided | Noise variable
7,X7,Noise variable,230.08784480051872,Guided,Guided | Noise variable
8,X8,Noise variable,0.835863629405281,Guided,Guided | Noise variable
9,X9,Noise variable,413.6625577060375,Guided,Guided | Noise variable
10,X10,Noise variable,0.2220540127999219,Guided,Guided | Noise variable
1,X1,True variable,6.41223420846428,Guided,Guided | True variable
2,X2,True variable,80.28504302499331,Guided,Guided | True variable
3,X3,True variable,329.1798339144631,Guided,Guided | True variable
4,X4,True variable,465.880823466376,Guided,Guided | True variable
5,X5,True variable,97.60415936566329,Guided,Guided | True variable
6,X6,Noise variable,13.005502897322836,Guided,Guided | Noise variable
7,X7,Noise variable,12.398102106018518,Guided,Guided | Noise variable
8,X8,Noise variable,2.2422804417554434,Guided,Guided | Noise variable
9,X9,Noise variable,4.819122436819638,Guided,Guided | Noise variable
10,X10,Noise variable,0.03057267451602175,Guided,Guided | Noise variable
1,X1,True variable,386.6412890179334,Guided,Guided | True variable
2,X2,True variable,89.19100679743987,Guided,Guided | True variable
3,X3,True variable,21.674156810189945,Guided,Guided | True variable
4,X4,True variable,49.19248747952198,Guided,Guided | True variable
5,X5,True variable,6.445698125581291,Guided,Guided | True variable
6,X6,Noise variable,1.5151884131436006,Guided,Guided | Noise variable
7,X7,Noise variable,16.19344704477737,Guided,Guided | Noise variable
8,X8,Noise variable,10.334935468641715,Guided,Guided | Noise variable
9,X9,Noise variable,42.15814716263003,Guided,Guided | Noise variable
10,X10,Noise variable,0.5404972096478281,Guided,Guided | Noise variable
1,X1,True variable,206.78966386590076,Guided,Guided | True variable
2,X2,True variable,246.61501021280733,Guided,Guided | True variable
3,X3,True variable,59.44182255008015,Guided,Guided | True variable
4,X4,True variable,16.28523611084263,Guided,Guided | True variable
5,X5,True variable,90.52259600309847,Guided,Guided | True variable
6,X6,Noise variable,0.46265004168608626,Guided,Guided | Noise variable
7,X7,Noise variable,9.510415009501662,Guided,Guided | Noise variable
8,X8,Noise variable,1.417641284515633,Guided,Guided | Noise variable
9,X9,Noise variable,4235.731148848628,Guided,Guided | Noise variable
10,X10,Noise variable,3.6120448224965354,Guided,Guided | Noise variable
1,X1,True variable,788.6188413244886,Guided,Guided | True variable
2,X2,True variable,2017.6004520668894,Guided,Guided | True variable
3,X3,True variable,47.06342869912704,Guided,Guided | True variable
4,X4,True variable,109.48452242618328,Guided,Guided | True variable
5,X5,True variable,5.029462507098808,Guided,Guided | True variable
6,X6,Noise variable,2.891499432938222,Guided,Guided | Noise variable
7,X7,Noise variable,5.448110363879058,Guided,Guided | Noise variable
8,X8,Noise variable,0.16906896913421654,Guided,Guided | Noise variable
9,X9,Noise variable,0.6404155006079405,Guided,Guided | Noise variable
10,X10,Noise variable,0.4406986289392962,Guided,Guided | Noise variable
1,X1,True variable,203.7948957719191,Guided,Guided | True variable
2,X2,True variable,24.3681299232053,Guided,Guided | True variable
3,X3,True variable,87.55956710836897,Guided,Guided | True variable
4,X4,True variable,2622.6561457598405,Guided,Guided | True variable
5,X5,True variable,14.974558432562748,Guided,Guided | True variable
6,X6,Noise variable,166.42824363844466,Guided,Guided | Noise variable
7,X7,Noise variable,167.89402953206758,Guided,Guided | Noise variable
8,X8,Noise variable,413.13921856229393,Guided,Guided | Noise variable
9,X9,Noise variable,9.752997107057366,Guided,Guided | Noise variable
10,X10,Noise variable,4.518228165242448,Guided,Guided | Noise variable
1,X1,True variable,559.7202416080124,Guided,Guided | True variable
2,X2,True variable,1818.2834153910644,Guided,Guided | True variable
3,X3,True variable,1774.5521676894261,Guided,Guided | True variable
4,X4,True variable,1478.489085681275,Guided,Guided | True variable
5,X5,True variable,16.65810415533724,Guided,Guided | True variable
6,X6,Noise variable,0.06267550420214302,Guided,Guided | Noise variable
7,X7,Noise variable,4.631134702355669,Guided,Guided | Noise variable
8,X8,Noise variable,8173.024282505721,Guided,Guided | Noise variable
9,X9,Noise variable,17.48486592771986,Guided,Guided | Noise variable
10,X10,Noise variable,0.051969331788735904,Guided,Guided | Noise variable
1,X1,True variable,97.89319377033942,Guided,Guided | True variable
2,X2,True variable,362.1973873946402,Guided,Guided | True variable
3,X3,True variable,2038.5573872222544,Guided,Guided | True variable
4,X4,True variable,92831.71633125498,Guided,Guided | True variable
5,X5,True variable,317.43128136548387,Guided,Guided | True variable
6,X6,Noise variable,0.3259225560637178,Guided,Guided | Noise variable
7,X7,Noise variable,19.62547222217617,Guided,Guided | Noise variable
8,X8,Noise variable,0.7741527330703025,Guided,Guided | Noise variable
9,X9,Noise variable,2.8513054198301546,Guided,Guided | Noise variable
10,X10,Noise variable,0.12123442753513386,Guided,Guided | Noise variable
1,X1,True variable,33769.678159403244,Guided,Guided | True variable
2,X2,True variable,72596.6734037768,Guided,Guided | True variable
3,X3,True variable,2535.636781473835,Guided,Guided | True variable
4,X4,True variable,195.20829077818843,Guided,Guided | True variable
5,X5,True variable,2.6600610363297497,Guided,Guided | True variable
6,X6,Noise variable,2.8354030938491,Guided,Guided | Noise variable
7,X7,Noise variable,24.980875471432686,Guided,Guided | Noise variable
8,X8,Noise variable,3.453181816713957,Guided,Guided | Noise variable
9,X9,Noise variable,3.5713569080343603,Guided,Guided | Noise variable
10,X10,Noise variable,0.15295535744135977,Guided,Guided | Noise variable
1,X1,True variable,185.92410820655024,Guided,Guided | True variable
2,X2,True variable,537.6230387587738,Guided,Guided | True variable
3,X3,True variable,23.1990071528067,Guided,Guided | True variable
4,X4,True variable,20.03523109427157,Guided,Guided | True variable
5,X5,True variable,7.836530662494031,Guided,Guided | True variable
6,X6,Noise variable,0.7533128118442168,Guided,Guided | Noise variable
7,X7,Noise variable,1.697502665572193,Guided,Guided | Noise variable
8,X8,Noise variable,0.2449991620841589,Guided,Guided | Noise variable
9,X9,Noise variable,13.256915452759845,Guided,Guided | Noise variable
10,X10,Noise variable,0.016440713683286673,Guided,Guided | Noise variable
1,X1,True variable,110.31552133274128,Guided,Guided | True variable
2,X2,True variable,42.09278189476022,Guided,Guided | True variable
3,X3,True variable,755.8326087067816,Guided,Guided | True variable
4,X4,True variable,86.49343735768339,Guided,Guided | True variable
5,X5,True variable,15.717070297275148,Guided,Guided | True variable
6,X6,Noise variable,2.8948114351635454,Guided,Guided | Noise variable
7,X7,Noise variable,238.2095394529152,Guided,Guided | Noise variable
8,X8,Noise variable,4.861543829826338,Guided,Guided | Noise variable
9,X9,Noise variable,18.034485608629694,Guided,Guided | Noise variable
10,X10,Noise variable,0.1355805639424678,Guided,Guided | Noise variable
1,X1,True variable,747997.2821110017,Guided,Guided | True variable
2,X2,True variable,42.027545861077655,Guided,Guided | True variable
3,X3,True variable,15.987008197285943,Guided,Guided | True variable
4,X4,True variable,11.193532829640187,Guided,Guided | True variable
5,X5,True variable,7.083224451598512,Guided,Guided | True variable
6,X6,Noise variable,0.7528842993276826,Guided,Guided | Noise variable
7,X7,Noise variable,5.189084088340351,Guided,Guided | Noise variable
8,X8,Noise variable,0.10342546152311598,Guided,Guided | Noise variable
9,X9,Noise variable,16.973452359293635,Guided,Guided | Noise variable
10,X10,Noise variable,1.8045431354905197,Guided,Guided | Noise variable
1,X1,True variable,19925.03983086591,Guided,Guided | True variable
2,X2,True variable,19.317713502544485,Guided,Guided | True variable
3,X3,True variable,905.0621089913119,Guided,Guided | True variable
4,X4,True variable,16.123317621181897,Guided,Guided | True variable
5,X5,True variable,9.260071873024275,Guided,Guided | True variable
6,X6,Noise variable,1.8152210888340596,Guided,Guided | Noise variable
7,X7,Noise variable,17.06186648731938,Guided,Guided | Noise variable
8,X8,Noise variable,42.66484743095152,Guided,Guided | Noise variable
9,X9,Noise variable,0.5015716793030295,Guided,Guided | Noise variable
10,X10,Noise variable,0.06409613930325378,Guided,Guided | Noise variable
1,X1,True variable,2.849935764975005,Guided,Guided | True variable
2,X2,True variable,161.6552030876929,Guided,Guided | True variable
3,X3,True variable,471.23386077442797,Guided,Guided | True variable
4,X4,True variable,6.6463148304205255,Guided,Guided | True variable
5,X5,True variable,12.725097581647779,Guided,Guided | True variable
6,X6,Noise variable,12.015984120695503,Guided,Guided | Noise variable
7,X7,Noise variable,5.789896676454979,Guided,Guided | Noise variable
8,X8,Noise variable,0.9830185271315156,Guided,Guided | Noise variable
9,X9,Noise variable,7.087460097536748,Guided,Guided | Noise variable
10,X10,Noise variable,0.12282163663345778,Guided,Guided | Noise variable
1,X1,True variable,7.808861187917276,Guided,Guided | True variable
2,X2,True variable,185.0051123861503,Guided,Guided | True variable
3,X3,True variable,38.918793145848646,Guided,Guided | True variable
4,X4,True variable,80.89998406214067,Guided,Guided | True variable
5,X5,True variable,45.66477604845993,Guided,Guided | True variable
6,X6,Noise variable,43.76273241410762,Guided,Guided | Noise variable
7,X7,Noise variable,47.565574295494635,Guided,Guided | Noise variable
8,X8,Noise variable,6.435629565010099,Guided,Guided | Noise variable
9,X9,Noise variable,18.117479816861056,Guided,Guided | Noise variable
10,X10,Noise variable,0.04869961665894417,Guided,Guided | Noise variable
1,X1,True variable,94.61293638339568,Guided,Guided | True variable
2,X2,True variable,7102.221820765334,Guided,Guided | True variable
3,X3,True variable,1477.9953778523857,Guided,Guided | True variable
4,X4,True variable,24.429881263036627,Guided,Guided | True variable
5,X5,True variable,172.10603128013034,Guided,Guided | True variable
6,X6,Noise variable,0.9147647851969957,Guided,Guided | Noise variable
7,X7,Noise variable,59.55188778618398,Guided,Guided | Noise variable
8,X8,Noise variable,1060.0081061561327,Guided,Guided | Noise variable
9,X9,Noise variable,19.045228209465968,Guided,Guided | Noise variable
10,X10,Noise variable,43.16359735240734,Guided,Guided | Noise variable
1,X1,True variable,5301.783337160301,Guided,Guided | True variable
2,X2,True variable,339.2444685305583,Guided,Guided | True variable
3,X3,True variable,509.5698885337822,Guided,Guided | True variable
4,X4,True variable,64.28387956271827,Guided,Guided | True variable
5,X5,True variable,20.55687841057834,Guided,Guided | True variable
6,X6,Noise variable,0.5038622809229518,Guided,Guided | Noise variable
7,X7,Noise variable,8.282834239693356,Guided,Guided | Noise variable
8,X8,Noise variable,0.6030895412398081,Guided,Guided | Noise variable
9,X9,Noise variable,2.032720352375771,Guided,Guided | Noise variable
10,X10,Noise variable,0.04000017701930353,Guided,Guided | Noise variable
1,X1,True variable,149.727759308033,Guided,Guided | True variable
2,X2,True variable,760.7215443950647,Guided,Guided | True variable
3,X3,True variable,1398.9398287035356,Guided,Guided | True variable
4,X4,True variable,21913.368612197497,Guided,Guided | True variable
5,X5,True variable,18.41371677883603,Guided,Guided | True variable
6,X6,Noise variable,4.9148077208545615,Guided,Guided | Noise variable
7,X7,Noise variable,2.870425979411172,Guided,Guided | Noise variable
8,X8,Noise variable,0.43896647402461636,Guided,Guided | Noise variable
9,X9,Noise variable,0.39047301233263426,Guided,Guided | Noise variable
10,X10,Noise variable,0.05196500915053339,Guided,Guided | Noise variable
1,X1,True variable,0.9885643860354475,Guided,Guided | True variable
2,X2,True variable,33.25388807881097,Guided,Guided | True variable
3,X3,True variable,205.55403180765433,Guided,Guided | True variable
4,X4,True variable,37.001626929529124,Guided,Guided | True variable
5,X5,True variable,13.700217142352578,Guided,Guided | True variable
6,X6,Noise variable,37.778078038458425,Guided,Guided | Noise variable
7,X7,Noise variable,0.7368156251011163,Guided,Guided | Noise variable
8,X8,Noise variable,1.46921170037864,Guided,Guided | Noise variable
9,X9,Noise variable,3.7047650121727744,Guided,Guided | Noise variable
10,X10,Noise variable,2.9126199926303626,Guided,Guided | Noise variable
1,X1,True variable,231.40700112188878,Guided,Guided | True variable
2,X2,True variable,8.264927333208846,Guided,Guided | True variable
3,X3,True variable,645.8011018097628,Guided,Guided | True variable
4,X4,True variable,3.0197666080441534,Guided,Guided | True variable
5,X5,True variable,0.5253138134304525,Guided,Guided | True variable
6,X6,Noise variable,0.3263786534191283,Guided,Guided | Noise variable
7,X7,Noise variable,19.181237786569792,Guided,Guided | Noise variable
8,X8,Noise variable,7.1734185836699575,Guided,Guided | Noise variable
9,X9,Noise variable,1.5541185597413119,Guided,Guided | Noise variable
10,X10,Noise variable,0.04842878376719942,Guided,Guided | Noise variable
1,X1,True variable,54.472189992727245,Guided,Guided | True variable
2,X2,True variable,838.8082710095789,Guided,Guided | True variable
3,X3,True variable,1045.6000752756215,Guided,Guided | True variable
4,X4,True variable,116.4001538794779,Guided,Guided | True variable
5,X5,True variable,14.115512666984225,Guided,Guided | True variable
6,X6,Noise variable,11.109549831203305,Guided,Guided | Noise variable
7,X7,Noise variable,40.62104302700124,Guided,Guided | Noise variable
8,X8,Noise variable,2.3055967425319217,Guided,Guided | Noise variable
9,X9,Noise variable,0.8587349243751036,Guided,Guided | Noise variable
10,X10,Noise variable,1.1058663902079624,Guided,Guided | Noise variable
1,X1,True variable,2.4232747502732273,Guided,Guided | True variable
2,X2,True variable,67.58532777962654,Guided,Guided | True variable
3,X3,True variable,205.50536663360435,Guided,Guided | True variable
4,X4,True variable,431.4599460638089,Guided,Guided | True variable
5,X5,True variable,9.050160114854936,Guided,Guided | True variable
6,X6,Noise variable,2.4209077516312867,Guided,Guided | Noise variable
7,X7,Noise variable,3.275370997126398,Guided,Guided | Noise variable
8,X8,Noise variable,3.46584359127044,Guided,Guided | Noise variable
9,X9,Noise variable,1.9418962555563104,Guided,Guided | Noise variable
10,X10,Noise variable,28.034256940621475,Guided,Guided | Noise variable
1,X1,True variable,204.44213758106676,Guided,Guided | True variable
2,X2,True variable,1042.4100454357356,Guided,Guided | True variable
3,X3,True variable,2040.5035474090116,Guided,Guided | True variable
4,X4,True variable,29.94444252632999,Guided,Guided | True variable
5,X5,True variable,38.7018094225943,Guided,Guided | True variable
6,X6,Noise variable,7.505131235865051,Guided,Guided | Noise variable
7,X7,Noise variable,7.6219390368639734,Guided,Guided | Noise variable
8,X8,Noise variable,0.0864195763238049,Guided,Guided | Noise variable
9,X9,Noise variable,2.3325199802256638,Guided,Guided | Noise variable
10,X10,Noise variable,0.00831637813355899,Guided,Guided | Noise variable
1,X1,True variable,3.4422038445663716,Guided,Guided | True variable
2,X2,True variable,51.33023220555944,Guided,Guided | True variable
3,X3,True variable,223.7287363481886,Guided,Guided | True variable
4,X4,True variable,11.638715340265051,Guided,Guided | True variable
5,X5,True variable,186.72792389328745,Guided,Guided | True variable
6,X6,Noise variable,0.36161709375340273,Guided,Guided | Noise variable
7,X7,Noise variable,3.978946908770671,Guided,Guided | Noise variable
8,X8,Noise variable,0.856286564128928,Guided,Guided | Noise variable
9,X9,Noise variable,11.830861449685926,Guided,Guided | Noise variable
10,X10,Noise variable,0.7620037897159595,Guided,Guided | Noise variable
1,X1,True variable,1930.333398023102,Guided,Guided | True variable
2,X2,True variable,28.025185655118825,Guided,Guided | True variable
3,X3,True variable,22.348811223712474,Guided,Guided | True variable
4,X4,True variable,31.317160619292835,Guided,Guided | True variable
5,X5,True variable,170.92541672438804,Guided,Guided | True variable
6,X6,Noise variable,1.0715731710180165,Guided,Guided | Noise variable
7,X7,Noise variable,612.2739990711575,Guided,Guided | Noise variable
8,X8,Noise variable,0.24958209154493763,Guided,Guided | Noise variable
9,X9,Noise variable,0.32919852366817287,Guided,Guided | Noise variable
10,X10,Noise variable,0.6167214463686931,Guided,Guided | Noise variable
1,X1,True variable,701.0666273583688,Guided,Guided | True variable
2,X2,True variable,1696.4782128899594,Guided,Guided | True variable
3,X3,True variable,2801.4629432429347,Guided,Guided | True variable
4,X4,True variable,13414.46473281499,Guided,Guided | True variable
5,X5,True variable,32.68591576624299,Guided,Guided | True variable
6,X6,Noise variable,0.9448469086806308,Guided,Guided | Noise variable
7,X7,Noise variable,0.3088447762778113,Guided,Guided | Noise variable
8,X8,Noise variable,0.6121290848784987,Guided,Guided | Noise variable
9,X9,Noise variable,7.5303172783958985,Guided,Guided | Noise variable
10,X10,Noise variable,0.09468507149759285,Guided,Guided | Noise variable
1,X1,True variable,117.11167652026525,Guided,Guided | True variable
2,X2,True variable,23.7768847762347,Guided,Guided | True variable
3,X3,True variable,36.967614119709964,Guided,Guided | True variable
4,X4,True variable,70.9059972487961,Guided,Guided | True variable
5,X5,True variable,1.5321188029009565,Guided,Guided | True variable
6,X6,Noise variable,0.5227092313047708,Guided,Guided | Noise variable
7,X7,Noise variable,35.51688209300636,Guided,Guided | Noise variable
8,X8,Noise variable,12.14294669159607,Guided,Guided | Noise variable
9,X9,Noise variable,146.1609669536953,Guided,Guided | Noise variable
10,X10,Noise variable,34.67268953502466,Guided,Guided | Noise variable
1,X1,True variable,30.81508908885904,Guided,Guided | True variable
