sigma2,tau,c2,eta,active_size
0.836764219587557,0.00139833889833781,10.3061118708708,0.116420081385146,212
0.839023698962526,0.0014010463489373,12.9093845257123,0.107728245497213,213
0.838576937548933,0.00140147376292934,15.776900179136,0.103213306825183,210
0.837285299413492,0.0013973153342745,11.9517107137826,0.0966334492981594,212
0.832509666088446,0.00139960572866393,5.6174905686091,0.0943448674101385,213
0.833367158282431,0.00139861043341745,13.7668858743623,0.0999172834219596,212
0.831294996923797,0.00141067875431546,12.6168941086931,0.104798385011691,213
0.822263055581256,0.00141544522614023,10.5104483185142,0.104250038499334,213
0.817888791448621,0.00142130556056776,18.3309856070567,0.100059523835857,210
0.817688837435998,0.00142000171178149,17.8817237545831,0.102724934534608,211
0.812387970423582,0.00142352065719194,7.05531406468374,0.0918408709941537,216
0.812189204240585,0.00142313077771591,17.9720285557036,0.0834445273523926,212
0.808995013332293,0.00142918802285416,8.06988380246094,0.0837929070573867,213
0.804191007103104,0.00143059064058705,7.67293765806585,0.0874213263744447,218
0.80069230307109,0.00143512635095168,8.38693770755851,0.0880532142438329,212
0.800762122974453,0.00143997299868723,13.4166784662225,0.0847167830239436,211
0.794191999206793,0.00144304391329917,11.3816331905051,0.0754319587069943,211
0.785363988359394,0.00145368909288924,13.3810936978943,0.07100674433275,208
0.790245069426051,0.00144933312979171,8.5714389366281,0.0708055062744445,210
0.787990321745528,0.00145006179886044,10.0995196272263,0.0749820155106596,209
0.785924478817782,0.00145071353727746,12.2129551527126,0.0775339231270516,217
0.784318592544286,0.00145121774536569,14.6603176184924,0.0750646862477513,215
0.785414518117511,0.00144654036927107,7.6646330068316,0.0743959660807756,215
0.779044837077782,0.00145423426001482,8.56708265495669,0.0794250418071117,213
0.772771800926797,0.00145574385826232,8.86961042739346,0.0817245441558992,211
0.774235889772745,0.00144959803349823,7.14734194308715,0.0744997261235409,214
0.769643027108499,0.00145657601381635,17.1409615875831,0.0719854820227707,212
0.761693561014949,0.00145825280132505,11.7129824088883,0.0708059456528397,211
0.754870232025451,0.00145990503165632,8.31581436845889,0.065807668505561,213
0.749958228512448,0.00146015262890449,14.2334530558761,0.0691830110885617,210
