parameter,mean,median,sd,ci_2p5,ci_97p5
sigma2,0.0253122941890928,0.0253330459763863,0.00144031485561322,0.0226235944257853,0.0279477466782586
tau,0.125144400816869,0.122009789761962,0.0270092598170714,0.0794938197426942,0.176041049908285
c2,10.0737528970908,9.65089661057624,3.19329474973639,5.67991938892135,17.5370595311466
eta,0,0,0,0,0
