sigma2,tau,c2,eta
0.0245232731820423,0.161806391799766,8.01469832246309,0
0.0255458484477125,0.150720053687742,7.91943456082982,0
0.0266294377276073,0.105681140491903,14.1233680587037,0
0.0244585740981227,0.172171399940114,11.0790644324913,0
0.0254599810724593,0.147359349400456,8.64103449514761,0
0.0230746211063509,0.158469019442562,8.18920594785656,0
0.0244171687797482,0.161954852212422,13.2284785760203,0
0.0261238857921736,0.144071232502733,7.98902242452052,0
0.0254921528554282,0.160213923586242,9.64238157889949,0
0.0246262351544092,0.134510850065708,6.33870364453739,0
0.0280099436973073,0.132012287593668,13.6238431134205,0
0.0248938966506525,0.112989146897229,11.9600256844754,0
0.0253524282495414,0.152533203459928,11.1347852813663,0
0.0278855496592099,0.151525645107241,16.5140904026297,0
0.0276442716534549,0.130662882521768,13.1157558150962,0
0.0252049754743066,0.157830070811401,9.26072275066825,0
0.0264487165455719,0.203691200440255,10.3044128422573,0
0.0242672658282047,0.171991591417974,8.91712283252831,0
0.025156676572346,0.137820535890904,6.2320522602146,0
0.0231789676736274,0.133850186192645,12.5646988004015,0
0.0262921338233652,0.121506365913207,11.7120324097624,0
0.0222235816032277,0.148779643929126,10.5338452282583,0
0.0263384409919848,0.134203679443691,14.2844026575168,0
0.0271472926192029,0.103311240462011,7.15893271557745,0
0.0260987068906955,0.089844664025286,8.50853840106394,0
0.0253136637032313,0.0845834095866801,9.74005267968394,0
0.0266280150078381,0.104693645648259,7.79194313726192,0
0.025641109369723,0.101520681952683,11.3872952876984,0
0.027567245817663,0.0788163723205202,8.14688038636947,0
0.0258454014711809,0.085327589315009,12.2031765783595,0
0.0254651002743736,0.117182364637717,10.1613812242214,0
0.0275377064394243,0.109490780590321,7.41679421150725,0
0.0255894294278162,0.0954317182269854,10.8577032540198,0
0.0254346560088843,0.0675330182439105,9.65163033324183,0
0.0257913147451769,0.0972118816355856,14.9097244516855,0
0.0254933961297971,0.121658722144919,4.78747568905024,0
0.0225122351371677,0.126815659951052,7.45357235775678,0
0.0227349537144028,0.133513994286299,11.3817380415142,0
0.0240899965951638,0.140977391079447,10.0984658610861,0
0.0261476062342839,0.160128125409488,9.96547875408942,0
0.0229547068535534,0.183140626052047,7.67135221584608,0
0.0268482809830098,0.150365930514882,7.25941684974231,0
0.0261020381427695,0.139899112483496,5.86989617322665,0
0.0241908358639815,0.167744281313808,10.7998736222344,0
0.0266258826225303,0.172761202912924,13.8017304092633,0
0.0244122902477105,0.122071052468737,7.32734836291192,0
0.0242875029278368,0.117362277629114,8.66366731389386,0
0.0239133061115603,0.121948527055187,7.43661026419995,0
0.0274221219161915,0.111530163266051,7.50684265921112,0
0.0241659869978723,0.127081016666664,6.35398888604394,0
0.0275189104954653,0.169022829435695,7.84368452178957,0
0.0239598733356462,0.176249489612472,10.8712678332806,0
0.025425642170884,0.163594557655031,6.78098903571126,0
0.0233300449721353,0.161784378506961,8.41761332784617,0
0.0260479407575231,0.14077360164543,9.52706942684336,0
0.0235800917943024,0.153248399866301,7.59146852904345,0
0.0272549158046795,0.111685973776061,9.52114240679542,0
0.0236706442483648,0.141856991341668,12.2360890876386,0
0.0236923143136961,0.157766673443648,13.8159388152275,0
0.0263562103391651,0.114607248117908,11.6546677900409,0
0.025274504933292,0.135035015986881,11.8420993320636,0
0.0276881803020155,0.126489586865102,5.51605815919587,0
0.0252403514816825,0.137458932561844,10.9913980164334,0
0.0255018459087173,0.134687258675354,14.0022742138725,0
0.0241960357688223,0.12876538095163,7.77443568063121,0
0.0244217533937058,0.122542727293474,10.1648378471898,0
0.0257845427349929,0.12992264504959,6.53307524919221,0
0.0222998325533999,0.119425271529132,11.2329863197973,0
0.0273796649636918,0.109719315605773,10.1095378075622,0
0.0256158482987224,0.123202349429436,8.4292857528697,0
0.0246110006225175,0.128853588595171,7.68280117224917,0
0.025700231135777,0.163286496135665,7.35176608903075,0
0.0244825473857887,0.130003667955978,12.1104297612932,0
0.0235223380592409,0.105573909187931,7.76049228764466,0
0.0238200975768625,0.103232618382722,7.24201469686034,0
0.0273710971846659,0.105896517060609,5.7397078992153,0
0.0247749263022226,0.0974107082854363,9.67637793047853,0
0.0263329307127716,0.0912399918238937,9.91860844168853,0
0.0262160850096219,0.0947055021691893,10.9308234912497,0
0.025807828906353,0.0823388343650646,12.3080375445309,0
0.0238728083748493,0.0773620340778665,8.93227364174448,0
0.0249059044973172,0.134037399571667,12.7257560695697,0
0.0243801421468269,0.136703722891955,14.6593961992641,0
0.0236173263894956,0.0967134627876519,7.82032228605648,0
0.0247322296954403,0.101808721292839,17.9715663447676,0
0.0266990895900757,0.0801712671648682,6.7733028625607,0
0.0230731945258902,0.0867993715575808,9.44698093398932,0
0.02666556861667,0.0903139188427448,5.6201308786274,0
0.0259447289080867,0.100945302146189,17.5904280134535,0
0.0288873286399714,0.0896917187287112,5.38870661848803,0
0.0264408037268742,0.0978275193528871,15.8212477582531,0
0.0264867300652017,0.100845546438628,7.68448490652169,0
0.0233988268958456,0.101992444385316,6.32266820440192,0
0.0268170120823636,0.090804207357781,11.3260165408673,0
0.0263934707784865,0.0916984629946969,9.03107285819478,0
0.0232654882987867,0.104739729187464,24.2687216229884,0
0.0271289851217885,0.0926917426694298,8.39766825789998,0
0.0260754363575899,0.133636092982354,10.3741174374516,0
0.0227848607112763,0.117227158688091,11.2650572720673,0
0.0270497479924291,0.117287592831864,9.73539804641252,0
0.0245380678916069,0.132088921349318,16.1691202235666,0
0.0246638917604262,0.0995495878847159,10.3939736759061,0
0.0247033485468391,0.187094359353046,9.62638291707391,0
0.0248258845716745,0.160837723020886,7.41604698445768,0
0.0287072461606787,0.173818652122634,13.8837926421193,0
0.0266608159452428,0.175832610204098,8.78077717458643,0
0.0238866145116367,0.152322845616162,9.69551629223113,0
0.02523129916232,0.144480131935541,8.91607692664001,0
0.0251815227126714,0.152605708438044,11.5450985774868,0
0.0257472502456283,0.127379164054858,9.66374434750915,0
0.0244328396205316,0.0990300050367467,13.34594628891,0
0.0257411393459515,0.0941140559583407,15.2319252009737,0
0.0260111738076523,0.09858240147975,8.19022166136849,0
0.0232906184587961,0.0930044049715744,8.66015738668743,0
0.0248485143585864,0.0786770302351914,8.22136987533249,0
0.0267293139306644,0.11841038131849,7.61787192187921,0
0.0243456657490644,0.133713138184657,10.3216184017295,0
0.0249534025688203,0.12097765750387,17.4836910488396,0
0.0233476937570924,0.135210057494047,12.5961450800292,0
0.0259725361905809,0.134516418951867,10.0203646295908,0
0.0269987759677964,0.132767703654141,8.49217992183074,0
0.0258548454382289,0.111585586457981,9.41124766777322,0
0.0256277448133005,0.100729541412356,11.2715433680502,0
0.0273933114135013,0.100793691435593,9.21975610905572,0
0.0265208076755549,0.107638915619589,11.1052131447686,0
0.0241290325841584,0.114119508218959,9.65016288791065,0
0.0249919104797806,0.116968338483192,6.30267365588877,0
0.0248378398395084,0.12601817429303,6.22655855338805,0
0.0239115745476974,0.171652268833553,10.7271818234429,0
0.0238381575838232,0.102335404747154,11.6241809803763,0
0.0254003626055487,0.0822602138164197,7.35837709777925,0
0.0266711962704546,0.107992012510791,15.4585209506821,0
0.0261890154285447,0.112359545147991,9.0469099958893,0
0.0268621183419631,0.133093847889873,7.02313269099698,0
0.0243406310971801,0.146128101020202,5.8743013673379,0
0.0264980055739424,0.112679769695181,11.0175591571593,0
0.0267684514436496,0.115897947880743,10.1239423341944,0
0.0241268804853051,0.121591221981467,7.28427554408435,0
0.0246725936085038,0.123085171299249,6.58323447290654,0
0.0271210498303423,0.169389087011327,8.58964549599337,0
0.0222700174479717,0.143693596086842,12.4247857142308,0
0.024100674170375,0.11660340114853,7.99458174582715,0
0.0257465888409415,0.111656981521444,6.14257707669754,0
0.0241742674157037,0.110787160330185,6.66456715647977,0
0.0249886425331743,0.10803839212355,10.7448854799484,0
0.0252756869085613,0.102799433808065,17.0472068127349,0
