sigma2,tau,c2,eta,active_size
0.824095125141325,0.0270271846908015,5.34809803639639,3.17689480536358e-07,549
0.828541846688939,0.0270182724334395,4.85923668733421,7.14055756437753e-07,534
0.825536574781054,0.0270033503140027,7.47971724371284,5.53219140436021e-08,536
0.819278918274292,0.0269710444451886,4.37880482322478,5.14309085846587e-07,548
0.817106688602544,0.0270458087061515,6.41307874641865,6.9546975272409e-07,550
0.813652837793152,0.0270273538063602,18.3596313590891,1.33988957868413e-06,551
0.81571928333747,0.0269872951866978,10.1613906979902,1.77011983124654e-06,551
0.807785764789274,0.027065921963017,10.8755928361777,1.67404599432603e-06,547
0.807380979052115,0.0269865037432147,6.73799209823394,3.08480498702075e-07,543
0.806928973099093,0.0269484187830095,8.81485169785026,2.51815324708219e-08,548
0.801482879566142,0.0269445127447064,8.89763311457669,5.31558806764591e-07,554
0.799512115529408,0.0269931090706431,5.27252936225514,1.93546941613831e-06,552
0.797635997396452,0.0269500041350645,7.34528012336548,9.76676014183993e-07,551
0.793986667405282,0.0270263071164357,7.84967837266403,8.0501844377525e-07,550
0.792342124483173,0.027004504201748,5.67132335243934,7.20452814733606e-07,552
0.791937853465242,0.0271229423020295,12.729699731147,4.57239454765112e-07,559
0.785509867908031,0.0271270999805045,8.56274670617488,1.4997049398958e-06,541
0.779964934339397,0.027216787181535,5.58880973172309,1.83308816840213e-06,553
0.78392147715309,0.0271258884927593,9.09547798099553,8.42212592325429e-08,549
0.777642037176939,0.0272249726925675,7.46317339468757,5.76168279009227e-08,544
0.770128769407367,0.0272323136932759,7.62151640531037,8.1368792702435e-07,545
0.767177299998553,0.0271733138210699,16.429984186615,1.31518486107388e-06,546
0.762401149519008,0.0271646839025001,9.99664306919416,1.49239657605789e-06,550
0.758001821276436,0.0271486791171285,7.58360470791572,7.57491510669478e-07,544
0.753700401993244,0.0272283021688881,7.01098009768468,1.88850643307663e-06,544
0.752055842053279,0.0271710604839801,8.25568070629007,1.96821195143837e-07,548
0.74814151669962,0.0271733210397189,8.73437380116909,3.41536086234494e-07,556
0.741463511378133,0.0271153392706657,10.8983072317663,2.85761302708993e-07,553
0.734981191246866,0.0271588086849846,10.6953517646272,1.63230237022532e-06,545
0.727208275410395,0.0271979199619254,6.65273818309601,1.24200071726161e-06,548
0.727975676417228,0.0271819518826957,7.86545249245436,5.48019815901296e-07,538
0.727779077359314,0.0271796607210288,8.14149163333933,2.9355301353431e-07,548
0.724045061882039,0.0271259910573917,7.6864115851335,1.87813774677515e-07,540
0.721093602722517,0.027239736952401,8.85958322356576,8.44954689151419e-09,554
0.72471169590418,0.0270376782010716,7.84960076907626,5.38571843284172e-07,551
0.720218337816033,0.0269847454388694,5.45045143539267,3.79941465207216e-07,548
0.717708397884468,0.0270880369398238,5.62280679649535,1.61586349825074e-06,548
0.710217598743406,0.0271826629263469,8.09688553412498,1.30743002799726e-06,549
0.70885183633769,0.0271530277783194,4.24725753875322,1.09965163082187e-06,542
0.706834881893329,0.0272056421945664,6.49661231124405,2.38135778472627e-06,551
0.702735390450599,0.0272420440829736,11.0737755568815,2.71553488460764e-07,537
0.698829940169778,0.0271741659804889,5.09038612758156,1.37690374449221e-06,547
0.696477263346508,0.027120590902093,5.94486687188517,1.17461912255301e-06,554
0.691015368788853,0.0271325695612207,11.6201292163508,9.64719593772193e-08,551
0.684863365441659,0.0270419384436786,5.97789021641274,1.18826108360357e-06,547
0.68851317654018,0.0269933907746522,10.8867294494255,3.66558385594338e-07,536
0.685074317078904,0.027003715036164,12.278644228179,8.21629233278913e-07,545
0.681503794462289,0.0270709578629854,5.34353928939235,1.17801350711249e-07,555
0.677016593315888,0.0270884690055207,8.157287939327,1.79507029177087e-06,550
0.674322558821691,0.027133180567773,8.3730313510559,7.08690543662607e-07,545
0.675894376203376,0.0270279889147578,12.4167832714219,1.24928659025422e-06,550
0.673125328733632,0.0271224369059667,10.224287598648,4.38791309845284e-07,546
0.670867172843819,0.0271255143022307,7.12292719451551,7.2405167871961e-07,544
0.667553209843049,0.0271306247856252,7.04102209682526,6.16483347308236e-07,549
0.667183193972849,0.0270331508066401,7.06909069256308,8.91790622865331e-10,556
0.666879993599933,0.0270274785551711,6.57227990973561,2.71490702157262e-08,545
0.664174740421264,0.027000590512277,7.66139965153106,1.09326798343158e-06,559
0.663968294030082,0.026951168820227,8.55158064415629,1.85637578650175e-06,560
0.665657815581129,0.0268866603364521,12.3667304392688,7.66280933077582e-08,548
0.661519800714945,0.026937604375566,6.96434735026583,3.83131852304781e-07,544
0.653619004611073,0.0270465168939587,6.23251324480639,7.50112022257367e-07,548
0.652980877787687,0.0270635435979141,7.50893475663332,1.63600121811695e-07,554
0.652323363905536,0.0269444808036888,8.74163906252191,1.25442726165893e-06,533
0.650951966704031,0.0269347333399439,5.89881380415676,7.28331763897942e-07,553
0.647786551708289,0.0269406743025836,6.35589805368989,6.85004912405071e-07,544
0.647662131928367,0.0268484433118786,9.43963487618056,1.07630420171657e-06,557
0.64390353853612,0.0267600197647496,5.27870110087919,1.3231433109987e-07,550
0.638975571163201,0.0268027975690519,5.70642239910215,2.91253745978779e-07,537
0.639483772379079,0.0267607247239873,9.12090680766263,1.62406494882321e-06,553
0.6381878259573,0.0266911014467095,11.7410996266649,2.03570969087148e-07,545
0.635618350163709,0.0267115109453034,5.20830419380003,2.68981547378753e-07,549
