feature_index,sis_score
132039,808.119844547848
635340,803.829780247581
850436,792.933500852831
548013,790.995437339933
758788,790.619532281489
53436,789.769014119086
291420,787.852099255721
783590,784.721652027462
550950,784.515477652771
87720,780.935861747187
594436,772.856617687249
832467,767.873658192823
527486,763.918867093201
89683,763.365354927979
431763,762.954982690214
376150,759.464909773515
130522,758.384302968482
602209,756.29048838839
615298,756.046846223332
537846,755.789462274338
626698,755.590196798919
352035,752.847914092935
741391,750.789363902712
562287,750.63665444229
455987,750.214202703511
540501,749.773271098985
565806,749.621863336663
581805,748.892458414549
707949,748.597510656257
353403,748.228756296629
474761,747.776358428167
377510,747.68485259022
397317,747.629364564606
315990,747.261813706426
663516,746.621068922068
816612,746.130689376835
598490,746.096067541484
86032,745.754500523741
428217,745.712554514231
755355,745.397642793597
839807,745.220615105124
215455,744.695254479965
731073,744.629046951385
549320,743.937636587624
379710,743.300565949012
492082,743.082905664757
617714,742.462856259251
301479,742.258605997414
354459,742.165431175377
762240,742.106112819162
656518,742.062977483858
386148,741.861324483382
519881,741.636129558218
685427,741.352272162235
505233,741.301873333676
681276,740.779037643076
671084,739.835555669112
242633,739.651973814406
559195,739.604459521096
396806,739.570613980606
690083,739.460066602724
575324,739.36339742589
788715,739.287940479661
662478,738.88200280893
202961,738.496547337393
695934,738.440491572735
809744,738.30337992308
558468,738.26587958063
167020,738.253304345169
203019,738.240077428479
555965,737.89521592373
300302,737.456722422606
777035,737.426892401344
786319,737.393112765457
237705,737.358455735129
659993,737.00904873676
459708,736.838552533152
684764,736.678212708924
604364,736.622044989083
137668,736.586069362038
252198,736.233909570882
537943,736.127520969967
339550,736.11898769714
567382,735.815057964131
638877,735.686931628354
380257,735.496761560231
215467,735.422320426078
836032,735.096729430483
624850,734.735127526407
781239,734.718545647724
724936,734.437266962947
540329,733.987906607448
180784,733.332902880727
747511,733.303161378224
732583,733.300819388384
179028,733.227349680283
756592,733.218839049705
459199,733.020357654045
787987,733.014683090399
566904,732.486629168805
850283,732.431071487168
579358,732.36273787536
411978,732.321828202364
133115,732.25759706374
142715,732.093387775751
419117,732.068447195955
330329,731.512964781415
422757,731.270310887965
252072,731.2229850218
113154,731.221686684841
271193,731.143273217581
653284,730.954233047293
627352,730.869171730798
713717,730.574781031217
222033,730.432904415912
8971,730.370479967788
605627,730.366649138656
736439,729.942558278774
332919,729.916607959807
357226,729.841927997252
493726,729.687267767786
612490,729.478520659552
323116,729.468665850828
252390,729.367799083716
