obs_id,y_raw,yhat_raw,residual
1,9,16.851136148172493,-7.851136148172493
2,3,16.8443903072116,-13.8443903072116
3,9,5.498735786868178,3.5012642131318223
4,3,3.2129787799769005,-0.2129787799769005
5,3,-1.2815721299165617,4.281572129916562
6,9,22.66829896412701,-13.668298964127011
7,72,72.50804960484857,-0.5080496048485657
8,9,27.8712426596827,-18.8712426596827
9,72,88.01995281775606,-16.019952817756064
10,48,45.65124340608328,2.3487565939167183
11,9,35.08721855309932,-26.08721855309932
12,72,67.29547116397619,4.704528836023812
13,3,4.776386074662625,-1.776386074662625
14,9,25.019789329877035,-16.019789329877035
15,48,43.216692011294874,4.7833079887051255
16,48,42.27226033288774,5.72773966711226
17,3,1.5889556946347128,1.4110443053652872
18,48,54.87727061481249,-6.877270614812488
19,48,51.249270867503164,-3.2492708675031636
20,9,16.482616961735292,-7.4826169617352924
21,9,9.381076825598615,-0.38107682559861544
22,3,1.7079658902884631,1.2920341097115369
23,72,77.20321169900194,-5.20321169900194
24,48,43.02758800920525,4.972411990794747
25,72,82.10121754060725,-10.101217540607252
26,48,50.37715432284877,-2.3771543228487673
27,9,15.077546858643654,-6.077546858643654
28,9,18.633104347388734,-9.633104347388734
29,72,77.84395978062929,-5.843959780629291
30,72,73.31776157516428,-1.3177615751642833
31,48,47.575446581548405,0.42455341845159467
32,48,47.56302441141973,0.4369755885802675
33,48,36.95688538680617,11.04311461319383
34,9,16.830340520327212,-7.830340520327212
35,48,44.36874556783557,3.6312544321644324
36,3,4.369929655796916,-1.3699296557969163
37,72,86.77495576957614,-14.774955769576138
38,72,75.44565979869509,-3.4456597986950896
39,3,8.592551135862792,-5.5925511358627915
40,72,63.31773770162502,8.68226229837498
41,72,44.22198106557727,27.778018934422732
42,9,19.0567534113106,-10.056753411310599
43,48,64.2955622559657,-16.295562255965706
44,3,-2.9083367883405273,5.908336788340527
45,72,62.848157550802384,9.151842449197616
46,72,45.048269987983396,26.951730012016604
47,48,57.576232019943006,-9.576232019943006
48,72,74.55930954044709,-2.5593095404470887
49,72,79.89223396851011,-7.892233968510112
50,9,30.120327066869166,-21.120327066869166
51,48,52.35593416536846,-4.35593416536846
52,48,57.53325004136502,-9.533250041365022
53,48,44.93936041469252,3.0606395853074773
54,9,8.803373759239104,0.19662624076089585
55,3,3.6997410215480144,-0.6997410215480144
56,9,12.647043596078923,-3.647043596078923
57,9,23.883416640011227,-14.883416640011227
58,3,4.682529856516815,-1.6825298565168154
59,3,21.800913581186627,-18.800913581186627
60,9,13.378908272176236,-4.378908272176236
61,72,75.07697585960386,-3.0769758596038628
62,3,-10.467206097823919,13.467206097823919
63,9,14.54122988919124,-5.541229889191239
64,9,17.08373317550538,-8.08373317550538
65,9,26.66135919066414,-17.66135919066414
66,9,15.85285545654611,-6.852855456546109
67,72,56.89753519478171,15.10246480521829
68,9,24.816523393491114,-15.816523393491114
69,9,3.7915052612369564,5.208494738763044
70,72,68.86999183510751,3.1300081648924873
71,72,80.769513033205,-8.769513033205001
72,9,25.236368475783397,-16.236368475783397
73,48,50.279309259493644,-2.279309259493644
74,3,4.3834154903737925,-1.3834154903737925
75,3,2.6281200958999023,0.37187990410009775
76,48,49.537642390603196,-1.537642390603196
77,9,24.364100697899172,-15.364100697899172
78,9,14.941993498798237,-5.941993498798237
79,48,46.5889533828698,1.4110466171301965
80,72,53.47894618103396,18.52105381896604
81,72,85.2414818431645,-13.241481843164493
82,72,72.80203714195332,-0.8020371419533205
83,48,38.30211299753937,9.697887002460632
84,48,50.41448466118964,-2.41448466118964
85,9,19.17316471997806,-10.173164719978061
86,9,9.108267959094182,-0.10826795909418152
87,9,19.17407298660242,-10.174072986602422
88,48,47.527911333876226,0.4720886661237742
89,9,18.817007609461502,-9.817007609461502
90,3,-4.721562070817207,7.721562070817207
91,9,26.584254752321634,-17.584254752321634
92,9,12.915899972232108,-3.9158999722321077
93,3,6.484594020537138,-3.4845940205371377
94,48,39.29290819493517,8.707091805064827
95,72,58.27752226269778,13.72247773730222
96,3,0.09059932295073736,2.9094006770492626
97,72,68.58904802840925,3.410951971590748
98,72,65.68346167186436,6.3165383281356355
99,3,7.124415412187066,-4.124415412187066
100,3,-5.662169715220372,8.662169715220372
101,72,56.1794747453681,15.820525254631903
