parameter,mean,median,sd,ci_2p5,ci_97p5
sigma2,0.125345014569214,0.0904565216802541,0.0805288317967575,0.0544244324365085,0.336846094845441
tau,0.00197976672863986,0.00207454772734056,0.000367105664652478,0.001289644129897,0.00241247427361952
c2,10.4264233268928,9.70432191870581,3.54569129028153,5.50314920154903,18.6485693874561
eta,7.7938358601959e-07,6.58439688920447e-07,5.8663033950787e-07,3.73297635057353e-08,2.11834221654579e-06
active_size,10005,10005,0,10005,10005
