parameter,mean,median,sd,ci_2p5,ci_97p5
sigma2,0.613508740185943,0.608920214881999,0.116955998948509,0.426385668391184,0.818192803438418
tau,0.0266613001261998,0.0265936852664716,0.000381258621553537,0.0261326555137422,0.0272266374307278
c2,8.28225908822808,7.84963957087015,2.66924189944332,4.313031180989,16.0088746404619
eta,7.5914299924114e-07,6.87777771955602e-07,5.58289040486514e-07,2.61653013432741e-08,1.93857647845732e-06
active_size,548.675,549,5.83801249888238,536,560
