feature_index,sis_score,beta_std,selected
132039,808.119844547848,0.189675777720126,1
635340,803.829780247581,0,0
850436,792.933500852831,0,0
548013,790.995437339933,0,0
758788,790.619532281489,0,0
53436,789.769014119086,0.077759808124742,1
291420,787.852099255721,0,0
783590,784.721652027462,0,0
550950,784.515477652771,0,0
87720,780.935861747187,0.0916419274788642,1
594436,772.856617687249,0,0
832467,767.873658192823,0,0
527486,763.918867093201,0,0
89683,763.365354927979,0,0
431763,762.954982690214,0,0
376150,759.464909773515,0.0515158972270159,1
130522,758.384302968482,-0.06752445087932,1
602209,756.29048838839,-0.0923496122720548,1
615298,756.046846223332,0,0
537846,755.789462274338,0,0
626698,755.590196798919,0.0623973100327957,1
352035,752.847914092935,0,0
741391,750.789363902712,0.0847915466031246,1
562287,750.63665444229,0,0
455987,750.214202703511,0,0
540501,749.773271098985,0.0315761296996535,1
565806,749.621863336663,0,0
581805,748.892458414549,0,0
707949,748.597510656257,0.0523515541426864,1
353403,748.228756296629,0,0
474761,747.776358428167,0.0484185200246525,1
377510,747.68485259022,0,0
397317,747.629364564606,-0.0414475987468206,1
315990,747.261813706426,0.0361361163091594,1
663516,746.621068922068,0.0467197773911384,1
816612,746.130689376835,-0.0302514398541122,1
598490,746.096067541484,-0.030986968526335,1
86032,745.754500523741,0,0
428217,745.712554514231,0,0
755355,745.397642793597,0,0
839807,745.220615105124,-0.122904048481085,1
215455,744.695254479965,0.0421272620996522,1
731073,744.629046951385,0,0
549320,743.937636587624,0,0
379710,743.300565949012,0,0
492082,743.082905664757,0,0
617714,742.462856259251,-0.0577623883769736,1
301479,742.258605997414,0.0281818321139062,1
354459,742.165431175377,0,0
762240,742.106112819162,0.0664715462422649,1
656518,742.062977483858,-0.0379387312205443,1
386148,741.861324483382,0,0
519881,741.636129558218,0,0
685427,741.352272162235,-0.0632038136136623,1
505233,741.301873333676,0.0617085417170271,1
681276,740.779037643076,-0.046264274557432,1
671084,739.835555669112,0,0
242633,739.651973814406,-0.0288331140345042,1
559195,739.604459521096,0,0
396806,739.570613980606,0,0
690083,739.460066602724,0.0318831100345111,1
575324,739.36339742589,0,0
788715,739.287940479661,0,0
662478,738.88200280893,0,0
202961,738.496547337393,0,0
695934,738.440491572735,-0.0420587888445224,1
809744,738.30337992308,0,0
558468,738.26587958063,0,0
167020,738.253304345169,0,0
203019,738.240077428479,-0.0622260450171416,1
555965,737.89521592373,0,0
300302,737.456722422606,-0.0478308408153989,1
777035,737.426892401344,0,0
786319,737.393112765457,0,0
237705,737.358455735129,0.0586567920118291,1
659993,737.00904873676,0,0
459708,736.838552533152,0,0
684764,736.678212708924,0,0
604364,736.622044989083,0,0
137668,736.586069362038,-0.024245660350484,1
252198,736.233909570882,-0.032234437167949,1
537943,736.127520969967,0,0
339550,736.11898769714,0.0508425185765055,1
567382,735.815057964131,0.128912508665035,1
638877,735.686931628354,0,0
380257,735.496761560231,0,0
215467,735.422320426078,-0.0879554643851144,1
836032,735.096729430483,0,0
624850,734.735127526407,-0.000134465987102941,0
781239,734.718545647724,0.05395747594516,1
724936,734.437266962947,-0.0644301077996497,1
540329,733.987906607448,0,0
180784,733.332902880727,0.028403359341823,1
747511,733.303161378224,0.0666640579452017,1
732583,733.300819388384,-0.0557810630428855,1
179028,733.227349680283,0.0767056122696893,1
756592,733.218839049705,0.0791845458553757,1
459199,733.020357654045,0,0
787987,733.014683090399,0,0
566904,732.486629168805,0,0
850283,732.431071487168,0,0
579358,732.36273787536,0,0
411978,732.321828202364,0,0
133115,732.25759706374,-0.0320641905351951,1
142715,732.093387775751,-0.0643549732444119,1
419117,732.068447195955,0,0
330329,731.512964781415,0.0254532718324995,1
422757,731.270310887965,-0.0336537143620902,1
252072,731.2229850218,-0.0580728780079788,1
113154,731.221686684841,0,0
271193,731.143273217581,0,0
653284,730.954233047293,0,0
627352,730.869171730798,0,0
713717,730.574781031217,0,0
222033,730.432904415912,-0.0300099301687694,1
8971,730.370479967788,-0.0381622463059713,1
605627,730.366649138656,0.0229407199983869,1
736439,729.942558278774,0,0
332919,729.916607959807,0,0
357226,729.841927997252,0.0412651083481489,1
493726,729.687267767786,0,0
612490,729.478520659552,0,0
323116,729.468665850828,0.0469446599971993,1
252390,729.367799083716,0.0328160722188837,1
