parameter,mean,median,sd,ci_2p5,ci_97p5
sigma2,0.621238568722662,0.613664190733132,0.119613461260175,0.440557239012757,0.835065688934994
tau,0.00159031702041583,0.00158418121260636,0.000112869302483811,0.00140032603880061,0.00176742589570058
c2,10.6662908455162,9.81033558832474,3.27114653852373,5.99770264007148,18.1515070813801
eta,0.082598603703923,0.0811122470956362,0.011809687865324,0.0631807676806662,0.106312543288755
active_size,211.48125,211,3.08571852329914,205,218
