feature_index,sis_score,beta_std,selected
132039,808.119844547848,0.167906584297574,1
635340,803.829780247581,0.0360795948839257,1
850436,792.933500852831,0.0353378713874656,1
548013,790.995437339933,0.000729032882020243,0
758788,790.619532281489,-0.0146974366683307,1
53436,789.769014119086,0.0633884553917292,1
291420,787.852099255721,0.0331909087943185,1
783590,784.721652027462,0,0
550950,784.515477652771,0.000119170954143816,0
87720,780.935861747187,0.0792816826555476,1
594436,772.856617687249,-0.0152373598175234,1
832467,767.873658192823,0,0
527486,763.918867093201,-0.00118004626528982,0
89683,763.365354927979,0,0
431763,762.954982690214,0,0
376150,759.464909773515,0.0486877411708896,1
130522,758.384302968482,-0.0539582821812247,1
602209,756.29048838839,-0.0867339446280318,1
615298,756.046846223332,0.00157478310558559,0
537846,755.789462274338,0.0113632370384676,1
626698,755.590196798919,0.0601498509512749,1
352035,752.847914092935,0,0
741391,750.789363902712,0.0769783698267311,1
562287,750.63665444229,-0.00856524760058725,0
455987,750.214202703511,-0.00979823337312318,0
540501,749.773271098985,0.0280183297983797,1
565806,749.621863336663,-0.0103060453408364,1
581805,748.892458414549,-0.0122255922748562,1
707949,748.597510656257,0.0501658216081914,1
353403,748.228756296629,7.90773325502187e-06,0
474761,747.776358428167,0.0413870833690925,1
377510,747.68485259022,0,0
397317,747.629364564606,-0.0171443302092018,1
315990,747.261813706426,0.0264275454964774,1
663516,746.621068922068,0.035854941643931,1
816612,746.130689376835,-0.018057879151664,1
598490,746.096067541484,-0.022664725167796,1
86032,745.754500523741,-0.00218209123393834,0
428217,745.712554514231,0,0
755355,745.397642793597,0,0
839807,745.220615105124,-0.123345474217855,1
215455,744.695254479965,0.0188909582037232,1
731073,744.629046951385,0,0
549320,743.937636587624,-0.00287729015269819,0
379710,743.300565949012,-0.00554152247890319,0
492082,743.082905664757,0.011396900209767,1
617714,742.462856259251,-0.045662824630573,1
301479,742.258605997414,0.0215328392803147,1
354459,742.165431175377,0.00143480036197518,0
762240,742.106112819162,0.0581166783862297,1
656518,742.062977483858,-0.0177953963576227,1
386148,741.861324483382,-0.00376482558396774,0
519881,741.636129558218,-0.00160032494948757,0
685427,741.352272162235,-0.0460534080721589,1
505233,741.301873333676,0.0564416962478719,1
681276,740.779037643076,-0.0261302787205892,1
671084,739.835555669112,0.0194083973895348,1
242633,739.651973814406,-0.0217109777531362,1
559195,739.604459521096,0,0
396806,739.570613980606,0.00514365953147311,0
690083,739.460066602724,0.0253685079224149,1
575324,739.36339742589,0.0175853978165886,1
788715,739.287940479661,-0.00312297443499066,0
662478,738.88200280893,0,0
202961,738.496547337393,0,0
695934,738.440491572735,-0.0329897365680328,1
809744,738.30337992308,0.00894918794874773,0
558468,738.26587958063,0.00102297636075308,0
167020,738.253304345169,-0.0127792676770805,1
203019,738.240077428479,-0.0467172209384773,1
555965,737.89521592373,0,0
300302,737.456722422606,-0.0367470251409836,1
777035,737.426892401344,-0.00829883264454572,0
786319,737.393112765457,-0.017765427419632,1
237705,737.358455735129,0.026261620742973,1
659993,737.00904873676,0.00404843026881633,0
459708,736.838552533152,0,0
684764,736.678212708924,-0.00504348440694983,0
604364,736.622044989083,-0.0277679025089891,1
137668,736.586069362038,-0.0149045953728895,1
252198,736.233909570882,-0.022421098643917,1
537943,736.127520969967,0.00962152040104903,0
339550,736.11898769714,0.0469711794100645,1
567382,735.815057964131,0.128427961682305,1
638877,735.686931628354,-0.0123574300648569,1
380257,735.496761560231,0,0
215467,735.422320426078,-0.0751245582653491,1
836032,735.096729430483,0,0
624850,734.735127526407,-0.0113480321758585,1
781239,734.718545647724,0.0543968035262168,1
724936,734.437266962947,-0.0456643671339747,1
540329,733.987906607448,-0.000407260665146897,0
180784,733.332902880727,0.0189416257543009,1
747511,733.303161378224,0.0528362171845961,1
732583,733.300819388384,-0.0462338390729754,1
179028,733.227349680283,0.0526063026762135,1
756592,733.218839049705,0.0551032798249826,1
459199,733.020357654045,0.0244770379037887,1
787987,733.014683090399,0,0
566904,732.486629168805,-0.0119377456839794,1
850283,732.431071487168,-0.00936775310984677,0
579358,732.36273787536,0,0
411978,732.321828202364,-0.00385475459961339,0
133115,732.25759706374,-0.0195500272216016,1
142715,732.093387775751,-0.0430176458866745,1
419117,732.068447195955,-0.00247555742962646,0
330329,731.512964781415,0.0211910365615839,1
422757,731.270310887965,-0.0282299174924021,1
252072,731.2229850218,-0.0344319962950404,1
113154,731.221686684841,0,0
271193,731.143273217581,-0.00846003326948413,0
653284,730.954233047293,-0.0138826459388711,1
627352,730.869171730798,-0.0199217887711668,1
713717,730.574781031217,0,0
222033,730.432904415912,-0.0183038580650674,1
8971,730.370479967788,-0.0293217524330403,1
605627,730.366649138656,0.0109970545771523,1
736439,729.942558278774,1.41113641156862e-06,0
332919,729.916607959807,0,0
357226,729.841927997252,0.0358326036674528,1
493726,729.687267767786,0,0
612490,729.478520659552,0,0
323116,729.468665850828,0.0392527478038773,1
252390,729.367799083716,0.0307221467848106,1
