"Method","L2_beta","L1_beta","RMSE_beta","PredMSE","TPR","FPR","MCC","FDR","CompTime"
"SIS-LASSO","0.8856 (0.02182)","4.6213 (0.11002)","0.0009 (0.00002)","0.1410 (0.00555)","0.5300 (0.03000)","0.0001 (0.00000)","0.2038 (0.01159)","0.9216 (0.00455)","2.8591 (0.23547)"
"SIS-SCAD","0.9024 (0.02154)","4.8799 (0.10390)","0.0009 (0.00002)","0.1448 (0.00542)","0.5300 (0.03000)","0.0001 (0.00000)","0.2003 (0.01147)","0.9243 (0.00445)","3.6525 (0.20491)"
"SIS-RHS","0.8471 (0.02160)","4.1952 (0.10048)","0.0008 (0.00002)","0.1385 (0.00566)","0.5300 (0.03000)","0.0001 (0.00000)","0.2057 (0.01164)","0.9201 (0.00460)","41.8899 (0.10712)"
"BUGS-Active","0.7528 (0.00880)","3.6191 (0.05020)","0.0008 (0.00001)","0.2077 (0.00623)","0.4500 (0.01667)","0.0000 (0.00000)","0.6631 (0.01596)","0.0200 (0.02000)","73290.7334 (57.87808)"
