"Method","L2_beta","L1_beta","RMSE_beta","PredMSE","TPR","FPR","MCC","FDR","CompTime"
"LASSO","0.8199 (0.02443)","3.1118 (0.20680)","0.0026 (0.00008)","0.1651 (0.02497)","0.5200 (0.02494)","0.0003 (0.00008)","0.3346 (0.03179)","0.7591 (0.04565)","12.3100 (0.12364)"
"UniLASSO","0.8301 (0.02741)","4.3051 (0.22583)","0.0026 (0.00009)","0.0776 (0.00968)","0.5200 (0.02906)","0.0007 (0.00006)","0.1950 (0.01276)","0.9236 (0.01052)","14.1570 (0.28965)"
"SIS_LASSO","0.9375 (0.02502)","4.1721 (0.16883)","0.0030 (0.00008)","0.1528 (0.00518)","0.3800 (0.02906)","0.0003 (0.00001)","0.2092 (0.01754)","0.8846 (0.01062)","0.1080 (0.00533)"
"SIS_SCAD","0.9480 (0.02365)","4.3111 (0.14740)","0.0030 (0.00007)","0.1556 (0.00508)","0.3800 (0.02906)","0.0003 (0.00001)","0.2062 (0.01674)","0.8879 (0.00968)","0.1100 (0.00298)"
"SIS_RHS","0.8974 (0.02233)","3.8088 (0.14206)","0.0028 (0.00007)","0.1496 (0.00524)","0.3800 (0.02906)","0.0003 (0.00001)","0.2078 (0.01686)","0.8861 (0.00991)","11.7307 (0.30365)"
"BUGS-Active","0.7179 (0.02838)","3.8761 (0.19531)","0.0023 (0.00009)","0.0804 (0.00474)","0.4900 (0.02769)","0.0000 (0.00001)","0.5176 (0.03610)","0.4495 (0.05004)","5637.8974 (12.32221)"
