"Method","L2_beta","L1_beta","RMSE_beta","PredMSE","TPR","FPR","MCC","FDR","CompTime"
"LASSO","0.3004 (0.02188)","1.7129 (0.13373)","0.0009 (0.00007)","0.0328 (0.00259)","0.9800 (0.01333)","0.0003 (0.00003)","0.5045 (0.02173)","0.7366 (0.02091)","18.1930 (1.86569)"
"UniLASSO","0.3499 (0.03598)","2.3431 (0.24815)","0.0011 (0.00011)","0.0465 (0.00513)","0.9000 (0.02981)","0.0006 (0.00004)","0.3611 (0.01731)","0.8540 (0.01000)","19.4950 (0.65609)"
"SIS_LASSO","0.6020 (0.03967)","2.8579 (0.22837)","0.0019 (0.00013)","0.1145 (0.01043)","0.5200 (0.03266)","0.0003 (0.00001)","0.2988 (0.02256)","0.8276 (0.01567)","0.1470 (0.02271)"
"SIS_SCAD","0.5998 (0.04238)","2.8363 (0.25821)","0.0019 (0.00013)","0.1167 (0.01046)","0.5200 (0.03266)","0.0002 (0.00002)","0.3090 (0.02440)","0.8134 (0.02074)","0.1390 (0.01574)"
"SIS_RHS","0.5583 (0.04015)","2.5422 (0.22532)","0.0018 (0.00013)","0.1132 (0.01033)","0.5200 (0.03266)","0.0003 (0.00001)","0.2979 (0.02277)","0.8286 (0.01578)","9.5182 (0.06804)"
"BUGS-Active","0.2427 (0.03155)","1.7147 (0.18595)","0.0008 (0.00010)","0.0311 (0.00500)","0.8700 (0.02603)","0.0000 (0.00000)","0.9218 (0.01610)","0.0211 (0.01410)","5580.4348 (14.57953)"
